"label","1970-1979","1980-1989","1990-1999","2000-2009","2010-2019","2014-2023","2023","2024 (projection)"
"GHG","30.9±4.5","34.7±4.6","39.3±5.1","45.1±5.1","52.9±5.4","53.7±5.2","55.3±5.1",NA
"CO2-FFI","17.3±1.4","20.3±1.6","23.6±1.9","28.9±2.3","35.5±2.8","36.4±2.9","37.8±3","38.1±3"
"CO2-LULUCF","5.2±3.7","5.1±3.6","5.7±4","5.2±3.6","4.9±3.4","4.1±2.9","3.6±2.5","4.4±3.1"
"CH4","6.3±1.9","6.7±2","7.2±2.2","7.7±2.3","8.4±2.5","8.7±2.6","9.2±2.7",NA
"N2O","1.9±1.1","2.2±1.3","2.3±1.4","2.5±1.5","2.7±1.6","2.8±1.7","2.9±1.7",NA
"F-gases","0.21±0.064","0.37±0.11","0.52±0.15","0.84±0.25","1.4±0.42","1.6±0.49","1.8±0.55",NA
