"label","1970-1979","1980-1989","1990-1999","2000-2009","2010-2019","2012-2021","2021","2022 (projection)"
"GHG","30±4","35±4.4","39±4.9","45±5.1","53±5.3","54±5.3","55±5.2",NA
"CO2-FFI","17±1.4","20±1.6","24±1.9","29±2.3","36±2.8","36±2.9","37±3","37±3"
"CO2-LULUCF","4.4±3.1","4.8±3.4","5.3±3.7","5±3.5","4.7±3.3","4.5±3.2","3.9±2.8","3.9±2.8"
"CH4","6.2±1.9","6.6±2","7.3±2.2","8±2.4","8.6±2.6","8.7±2.6","8.9±2.7",NA
"N2O","1.9±1.1","2.1±1.3","2.2±1.3","2.4±1.5","2.7±1.6","2.8±1.7","2.9±1.8",NA
"F-gases","0.58±0.17","0.78±0.23","0.77±0.23","1±0.3","1.5±0.46","1.7±0.5","2±0.59",NA
