"units","year","gwp","F-gases","N2O","CH4","CO2-LULUCF","CO2-FFI"
"GtCO2e",1771,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1772,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1773,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1774,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1775,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1776,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1777,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1778,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1779,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1780,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1781,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1782,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1783,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1784,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1785,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1786,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1787,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1788,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1789,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1790,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1791,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1792,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1793,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1794,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1795,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1796,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1797,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1798,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1799,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1800,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1801,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1802,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1803,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1804,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1805,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1806,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1807,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1808,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1809,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1810,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1811,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1812,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1813,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1814,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1815,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1816,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1817,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1818,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1819,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1820,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1821,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1822,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1823,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1824,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1825,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1826,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1827,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1828,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1829,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1830,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1831,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1832,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1833,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1834,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1835,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1836,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1837,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1838,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1839,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1840,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1841,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1842,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1843,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1844,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1845,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1846,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1847,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1848,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1849,1,7.8699254692245e-05,NA,NA,NA,NA
"GtCO2e",1850,1,8.00800636362652e-05,NA,NA,NA,NA
"GtCO2e",1851,1,8.1665340464792e-05,NA,NA,NA,NA
"GtCO2e",1852,1,8.18792893950587e-05,NA,NA,NA,NA
"GtCO2e",1853,1,8.18954776991438e-05,NA,NA,NA,NA
