"em","sector","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CH4","1A1a_Electricity-autoproducer","biomass","ktCH4",0.723838149815774,0.673183057591357,0.613243954273582,0.641668348196489,1.07741499007062,1.06812694959485,1.12326568420299,1.16555800872724,1.2538448062237,1.2974859331177,1.25902940051384,1.28321245080122,2.112691494957,2.08889010322487,2.21879130473967,2.23153905513693,2.27811687249787,2.3593650554427,2.65224292536803,2.66243614385043,3.50099308917694,3.72398001948397,3.91543918649218,3.27183771092939,3.69927760343959,4.6267223107816,5.1743585886823,5.0607926760725,4.89445051798439,4.59056689006548,4.43644765605091,4.47737456205142,4.98760803984423,5.32415234233609,5.78557490786971,7.09636589507947,9.0169130249909,10.8682306861407,13.4903031450479,17.0402032774941,22.9005601456718,23.4397309357232,25.152066712617,28.707247784354,31.2347686374599,34.2154175907169,39.1210637146652,41.8908313875363,46.2897801956951,50.2008613626253,54.2345947777852,63.4458765891236,63.1927194786243
"CH4","1A1a_Electricity-autoproducer","brown_coal","ktCH4",0.0850175678740406,0.0890186976508092,0.0837465185532015,0.0933064958408907,0.141060115719173,0.133917937211251,0.137791767207147,0.131990825872156,0.120592843389467,0.121563072748146,0.140907530479033,0.163578402789203,0.161389314563334,0.143288606898601,0.150647778260209,0.166880587677894,0.166468199627613,0.162219410675724,0.156413986645909,0.143305537070566,0.176343086909269,0.186593698141271,0.125921310264345,0.10946615541838,0.100157286933684,0.0928165712275614,0.0767742230024728,0.0756180290863945,0.055012534838142,0.0483247040048942,0.0410874741834151,0.0498178105099243,0.0471262823411751,0.0413297834641365,0.0408542432363274,0.0398935632369876,0.0382762136457987,0.0330567933560975,0.0376773633963591,0.0390366537938687,0.0467297290769923,0.040627297472325,0.0447143801298156,0.0365314014984684,0.0354943811530973,0.0353086757982534,0.0349972731649506,0.0351310100091703,0.0380863021363534,0.048201458199621,0.0519716705652841,0.0456807375781025,0.0462548545718489
"CH4","1A1a_Electricity-autoproducer","coal_coke","ktCH4",0.00453784411948242,0.00496252922365041,0.00489138185126833,0.00550502793806381,0.00706365981008616,0.00754938151402176,0.00543203291913846,0.00568769374138033,0.00643429147086358,0.00648765200015015,0.0070577303402641,0.0062520753480757,0.00650998457296075,0.00694576222880102,0.00602973980938168,0.00571847005521006,0.00591412532926079,0.00553170820270709,0.00592301875080855,0.00641215693593539,0.0030025866788899,0.000753960284618588,0.000800005502928522,0.000853074701527423,0.000806789118407038,0.000773666542027216,0.000951055422313318,0.000873199224131084,0.000820944155404027,0.000767742654863827,0.000883301411297635,0.000846171860287165,0.00101736818353972,0.000996380369135156,0.00109049782483271,0.00112959881773911,0.00105697521438424,0.00742809576568154,0.00956111860379381,0.0086575580619297,0.0147968914108352,0.00508372861720856,0.00387772594347102,0.00567298289997491,0.00780423402617324,0.0157668796680645,0.000283331059791333,0.000247249360358186,0.000233260286201223,0.000235130891736608,0.000230847517952939,0.000191761392803903,0.000190550369662469
"CH4","1A1a_Electricity-autoproducer","diesel_oil","ktCH4",0.0480697939358469,0.0539598245741909,0.0530802710658544,0.0583279217582906,0.0657964052699582,0.0576148350884232,0.0648303949946333,0.0711095374731301,0.0727897705308452,0.0718386919543662,0.114770278624965,0.13181970153892,0.108096450326697,0.102704379042178,0.186402522616473,0.200744367086267,0.188108692895101,0.207761696439265,0.279741868881511,0.296870311778984,0.264847636669818,0.316251631949909,0.400925828762243,0.386382649261365,0.364031463042122,0.381994780027583,0.460995377781637,0.492894634402025,0.531165243354805,0.581811224661084,0.579551607216051,0.57118299751247,0.55281200677716,0.505691759225002,0.523472673178067,0.457714535076596,0.486741187929562,0.508711669996262,0.410044267623541,0.372651449704647,0.42210450143682,0.33492491155672,0.368472199465356,0.423941985819591,0.471525341494982,0.444182290836688,0.452988311421835,0.490066591785329,0.489722021954117,0.355823087846278,0.349511320993007,0.310952999880898,0.323383426581851
"CH4","1A1a_Electricity-autoproducer","hard_coal","ktCH4",0.069049485982027,0.0714269784065285,0.0722480025909728,0.0724382082829295,0.29193624331904,0.24588851412022,0.269112352425238,0.256469408116669,0.273968418571759,0.287842745587553,0.308563984610381,0.279833034456746,0.31610234386901,0.33699065258083,0.340254119922991,0.393065532830976,0.404960024577124,0.447916843846125,0.447152861072822,0.459106100547416,0.490231065609293,0.519108352651355,0.56639956987394,0.571962439123043,0.599332121408686,0.608755987086564,0.626168557344335,0.62506832945081,0.677416377385001,0.757104259512699,0.843448470099762,0.894804695036559,0.874833515528071,0.942182093770892,1.21368781167593,1.18540387985343,1.40032905693686,1.64653193038399,2.06360125741632,2.46646235468804,2.19012909420549,2.37376775759142,2.84459192458386,2.79220551451947,3.22390264632059,2.95033920380854,3.08832835284796,3.1453280479343,3.67143046681512,3.66096451642406,2.77953352015795,2.651001861302,3.07917208482036
"CH4","1A1a_Electricity-autoproducer","heavy_oil","ktCH4",0.305840844960337,0.348673000149609,0.379393134149031,0.512515362255269,1.72385618057141,1.73524461633838,1.78197922349978,1.95549643648914,2.07808862939671,2.2564720362845,2.24700678356929,1.98349097378467,1.52410705221912,1.43102496424938,1.28892938563092,1.19001637885768,1.22052970834692,1.26869178851273,1.2576698060717,1.17841132340829,1.17684936196682,1.1272755762849,1.20604171529292,1.2550582391115,1.22877856010569,1.25205808558435,1.29437261860509,1.46159620450413,1.50030380213418,1.33465796283763,1.28547863023039,1.28572883602862,1.18368997500763,1.2997105180735,1.18912164136694,1.07147899643266,0.978382613794442,0.878518515539663,0.896878849503711,0.817022771015552,0.955766280356691,0.99519349555578,1.05523413802706,1.00881360210186,1.08433811510729,1.14776720472052,1.31660544604959,1.2723375645573,1.53981415088616,1.73951565305819,1.71293789547292,1.76846154889843,1.91712951811524
"CH4","1A1a_Electricity-autoproducer","light_oil","ktCH4",0,0,0,0,0,0,0,0,0,0.00136272626313194,0.000475369626673933,0.000919244664756384,0.0115626448772011,0.0122661364678781,0.014505396484291,0.0135780042729295,0.0198937712533862,0.0203116883234825,0.0236944255302392,0.0284379601086672,0.0225744177855664,0.0238561267744729,0.0248355511841449,0.0270371115905918,0.0285349606395691,0.0266200316017229,0.0315322150941223,0.0313464276208928,0.0278691102913972,0.0280267463041997,0.0730886845463199,0.0615998877195817,0.0340577057468504,0.038291416941639,0.0544603059128545,0.0410019372648976,0.0455705123684732,0.0465971967803834,0.048676873620874,0.0446554037823714,0.0387908752179564,0.0392315819892429,0.0358020281121426,0.0300864723314393,0.0281719523430709,0.0228859136279332,0.0296609930711682,0.0350371820848704,0.0355934820989905,0.0285837649000073,0.049620728421375,0.0412956068027478,0.0396495606903813
"CH4","1A1a_Electricity-autoproducer","natural_gas","ktCH4",1.47789319520397,1.77924416891689,1.66489027810485,1.8438685283448,5.12772933499989,5.05767491758315,5.51339273279708,5.42099744437054,4.79180301200591,5.42083127450125,5.73492423496131,5.45909079322703,5.49343515097624,6.1482358515939,9.21993022006997,9.47160081852808,10.4824925660579,10.4662721682217,11.026586047032,11.7390908917384,12.7171920572241,13.2435801811065,14.631463429364,15.4452597164309,16.1347292532619,17.3229350537073,19.4352289179792,20.0195871086039,23.1395319366464,25.9462312830993,25.0810325117506,25.0875124309087,26.662883215183,28.8670941190954,31.2690614707253,38.3646818764813,43.1883307741988,45.339348329451,50.8334224527881,55.6346954547233,65.3109700061581,67.9675412338023,71.7560776009696,77.7727992794185,88.0676190394295,92.1336068522571,99.2457300346555,105.926613551509,119.853708960866,127.794285876072,131.915911390122,147.309634993286,128.671467423791
"CH4","1A1a_Electricity-public","biomass","ktCH4",1.12602103946739,0.992223188226587,1.00813620493329,1.07847096629978,0.719908060422277,0.734903712419789,0.734548423213338,0.757374656226039,0.750437802131693,0.77874035027979,1.22884476611226,1.53103973624976,1.50635663946067,1.73717547017029,1.90543462401466,2.08758342202377,1.29842744506941,1.17874712968927,1.27892646113063,1.33757060990719,1.12031735720788,1.10046733989947,1.17470726716975,1.19492445183994,1.26857388343074,1.35888177955576,1.44128575322219,1.64436124550833,1.59100128230603,3.33035841346013,3.80045000139894,4.36455300014504,5.18774707864401,6.18071179181802,6.80875088605444,8.31684489284265,8.71051315686571,9.29275016994949,10.3552816489553,10.0887463036031,11.6096436354431,12.0372737857918,12.5870189339784,13.7547705698052,14.3810292357876,15.0115281723689,18.489984747962,18.9495977303444,20.2283876537803,20.7189908180525,20.9041918411482,22.5503793796417,22.6299513402784
"CH4","1A1a_Electricity-public","brown_coal","ktCH4",4.92774384943471,5.25805487190821,5.68865924101436,6.16818040487896,6.25042704806607,6.6851379001474,7.54040816127933,7.60402692750282,7.277622392171,7.5990819308463,7.75321225695379,8.30094941702511,8.7376187403315,8.96630735226729,9.28651558475409,9.70617416414395,9.7022160291336,9.77280636126505,9.88764901520735,10.689682380925,13.6641423759949,13.3257318282078,13.4589304324513,13.2151613399784,13.4912365718407,13.782309891066,14.0322406132379,14.0153537160078,14.1908949563677,13.586137872363,14.2668122412303,14.8889929885994,14.8131634605138,14.6981830605689,14.8891547347741,14.1562510150108,14.146874180567,14.862517615994,14.5811619081598,14.3901412365196,13.9287827811794,14.8787545335143,14.8413758309896,13.7546003364636,13.9070807652886,13.9976687032478,13.8093876264631,13.6717448598167,13.3107469400967,11.8454289498865,9.89772225347443,10.9617721329563,11.0988498662698
