"em","sector","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"N2O","1A1a_Electricity-autoproducer","biomass","ktN2O",0.312001954817606,0.199883665575048,0.185533153180965,0.192619326916468,1.077926345063,0.993012319246577,0.976413693832551,0.991421797139261,1.02111060423322,1.02056898796049,0.907550189883268,0.938483260096407,1.42206356920689,1.28633996031078,1.2922965580878,1.26895523647925,1.17586392981365,1.22404236945951,1.3687436457754,1.37955855686748,3.64962115890124,3.7907469096265,4.03055918565637,3.69309392801674,4.25990179225306,5.15896585966651,5.50531949834638,5.5302521110171,5.42048574275182,3.49333804177274,3.36121720965503,3.54971719306471,3.67621168869809,3.29467410597183,3.44146265470537,4.07537950091088,4.35972254945072,5.43459189728537,6.05702955281879,6.59845499414068,8.50296659088166,9.25775213194267,9.81277694921821,10.3091554771628,10.9041284852204,11.7700839510732,14.8434647621189,15.8103636705206,16.8412494384336,18.5788881572699,20.2952119018876,23.7757616587785,26.130338626374,26.130338626374
"N2O","1A1a_Electricity-autoproducer","brown_coal","ktN2O",0.430927368109666,0.451357572760668,0.425116519192028,0.473004971669658,0.74689136869464,0.705840188510654,0.724030403870345,0.698919257079986,0.637098028600425,0.647727112849434,0.748732329813018,0.859255327503306,0.848319824554446,0.75950244292168,0.791259629419673,0.876480474285838,0.871221530745058,0.853770738792752,0.820324479799983,0.758260474595419,0.861701357407404,0.970813293244084,0.699566677178884,0.617364433217813,0.544829652369016,0.485222318307221,0.361691137169156,0.375098154001104,0.229737926538659,0.206832315695667,0.170976253521046,0.237083221904309,0.186166716868146,0.18977565504442,0.19530419684194,0.19664710722879,0.179860124389432,0.130209340421366,0.155688394576465,0.160578130662969,0.302703825887372,0.223067347046896,0.242786587258054,0.214937231519172,0.202012187938748,0.206470434507171,0.22334822457594,0.215204894940962,0.207020990352964,0.202387352880793,0.183653458499207,0.188502411477112,0.15792821316659,0.128633924973654
"N2O","1A1a_Electricity-autoproducer","coal_coke","ktN2O",0.0205172234256449,0.0224373773441871,0.0221156945148798,0.0248902089176556,0.0310078564595704,0.0334465892605586,0.0243935210755456,0.0255605655716613,0.0289384241273637,0.0291796862493442,0.0317527711878523,0.0282678786253827,0.0294339788816218,0.0314042862111293,0.0272626197837973,0.0258552574055776,0.0267398851861728,0.0250108399786459,0.0267800955398363,0.0289916649913242,0.0110170862803852,0.00138040738075786,0.00152649713117087,0.00173256681997984,0.00175582565462078,0.00169819905905881,0.00207343203090373,0.00206032246289764,0.00200163558302771,0.00197686631524814,0.00212927649210908,0.00221202757724771,0.00282850793536727,0.00274363995705593,0.00318865315931148,0.00337327926157018,0.00264557295594248,0.0162013552750121,0.0184133364527362,0.0156581052016623,0.023288174534881,0.00975189416826519,0.00723746427391009,0.0110445650503673,0.0146223178231348,0.0298772275921407,0.000670556588933491,0.000586815177317056,0.000558339344214484,0.000565656286711331,0.000555140668036805,0.000653622109102287,0.000716940249763847,0.000647016431057312
"N2O","1A1a_Electricity-autoproducer","diesel_oil","ktN2O",0.0481496837289473,0.0531253713656818,0.0562958851271704,0.0621938634903789,0.0805665043347438,0.0780783831260487,0.0876528361456158,0.0928142405719045,0.095483747741059,0.0932939249674849,0.122370614721606,0.133038714740603,0.11690808526372,0.109754956206045,0.168913669582962,0.17572538654941,0.174950052977742,0.187775081502811,0.237654578368212,0.2576095364234,0.257890804610385,0.301739264919793,0.326758143270585,0.302164396337624,0.278892338587768,0.317881614358388,0.340443536352229,0.307437753318303,0.298959937248572,0.283674184513313,0.302479291608522,0.293260001563032,0.305406302096147,0.28868718157985,0.292126495337833,0.251877690838469,0.433392463079034,0.464684160061226,0.389001476964771,0.335120610558723,0.385282370191747,0.312125807453106,0.373657241999019,0.426033108960242,0.451631728617371,0.442917820617885,0.393716684829595,0.397231277337679,0.34357157196637,0.256973288971321,0.247661519310836,0.240040476203518,0.236694427325956,0.243886129024655
"N2O","1A1a_Electricity-autoproducer","hard_coal","ktN2O",0.125506080510495,0.126495081070695,0.131554127267772,0.133247177503194,1.23677138015728,0.964392535139398,1.04405194527355,0.997120274509401,1.11159255924355,1.1715028643795,1.1738087395293,1.06376656561191,1.21269722837735,1.24219375623062,1.23327411461035,1.27410584088454,1.27282930255044,1.35647848838391,1.28400654786989,1.28717716884408,1.34700071369386,1.4053701363116,1.56895394524282,1.65496290503251,1.6225272897065,1.72398672731407,1.65963530381176,1.69366652238807,1.94494294096107,1.85618968241712,1.93845550119251,1.87110701387147,1.88128994353641,2.06482987420425,2.59834172351811,2.53060474876446,2.93523164529267,3.59186572404325,4.27539431069362,5.36351101112022,4.98500096606982,6.03383360466897,8.44639322743691,8.69022671650657,9.72085597351084,8.94920400448747,11.1070033253599,11.1275095039084,13.1834934483049,13.0781176763379,8.53527604816038,7.61862451860784,10.2829790990315,10.9121922998415
"N2O","1A1a_Electricity-autoproducer","heavy_oil","ktN2O",0.04447169604243,0.0491817108359926,0.0556854758677121,0.0894686643542784,0.650918263611419,0.610844155324883,0.614838586131968,0.651372455784038,0.697623630823209,0.740089488962791,0.722237321836273,0.631283375089359,0.474523532507911,0.459269454058947,0.421858359761959,0.388220884600231,0.394313043772865,0.393816221715225,0.370433581827971,0.3492068844354,0.344914604890728,0.391490016144761,0.441848799364158,0.43316383644368,0.43159582571484,0.4436708186832,0.469789571252824,0.645910366555764,0.558435611492454,0.457346939542952,0.370658474532394,0.385514454831754,0.300038849114686,0.397015150842712,0.404232863246747,0.360817688523506,0.555822835247466,0.482097476600813,0.450532274905284,0.394290135399934,0.405736341171911,0.452838273279783,0.42766946139217,0.378382355942251,0.380720942271688,0.389502726330177,0.441930374114846,0.418170574845931,0.441144031334967,0.460915124512776,0.456642622986747,0.47717491067526,0.472787515243332,0.483814669883959
"N2O","1A1a_Electricity-autoproducer","light_oil","ktN2O",0,0,0,0,0,0,0,0,0,0.000807017587359441,0.000281517763032363,0.00060164454974033,0.00732905337990178,0.00774493142157306,0.00916280003359154,0.00864028668218825,0.0126719674118698,0.0129265070243541,0.0149527168513143,0.0179195974014453,0.0141308369148473,0.0161758840972254,0.0173563693162762,0.0196372274023653,0.022892257940857,0.0221299649048949,0.02348811250772,0.0200908138933786,0.0144012477668988,0.0143881783324963,0.0679882743578992,0.0425048454960566,0.0181233220194559,0.0198087013258878,0.0266596353515768,0.018870527959624,0.0332698957074547,0.0293707508782287,0.0308545956356443,0.0546481245276417,0.0486924094110006,0.0368877425308209,0.0272516481670173,0.0218606617281403,0.0211652908782511,0.0217458927304111,0.023550121404675,0.0262982379825802,0.0207210846548664,0.0151819302530609,0.0184098583184608,0.047180496213027,0.0424378077600554,0.0164502204641284
"N2O","1A1a_Electricity-autoproducer","natural_gas","ktN2O",0.0731748859988117,0.0928647255263712,0.111090459528856,0.134463545812244,0.614059677156043,0.582306497067117,0.614271540002607,0.611975506882804,0.554990026467451,0.621644360700839,0.599846958309365,0.563309602446351,0.543706225937726,0.576383321540126,0.572947925671516,0.558154590298902,0.605197923134485,0.633237863991775,0.663499732856667,0.717382216974769,0.924892002302286,1.07038597589544,1.08352912676922,1.14533875541981,1.45093545677847,1.63384492156441,1.75617384121962,1.8107321761395,2.15446639279041,2.24075743993898,2.09792970987887,2.22005216830442,2.68059890195414,2.82462161119106,3.14921435391276,3.41281968819608,3.7300132700912,4.2642061968615,4.09790977955706,4.04224568897736,4.50684542670935,5.03903354727072,5.31060346350939,5.54071015395645,6.05642432720025,6.2731135929151,6.63626611033615,7.08570460484319,7.76805266715221,8.29774693922788,8.5472964136615,8.67908686787279,8.71390676913192,8.83597523369431
"N2O","1A1a_Electricity-public","biomass","ktN2O",0.430670603862952,0.384408519144871,0.403469847913597,0.42509876298362,0.293465097834628,0.293082789959333,0.299096967691171,0.328976393125809,0.314667021955413,0.34293350620255,0.491536974700138,0.589171402365458,0.558146185796219,0.651470763460951,0.723291696875727,0.909816075349636,0.637666099596275,0.629201645243675,0.687911418151256,0.79197239532202,0.679596016129196,0.641598382449423,0.668312276698672,0.677033012831923,0.67703787478804,0.674086753728177,0.747760136685463,0.850720932435031,0.850142734012697,4.80687994390548,4.93410562125578,4.80403039027662,4.92852286421825,4.89955558299842,4.81623069404817,5.07768506781273,5.02883700264052,5.09680298952084,5.25964033485654,4.76216167304723,5.03978088790178,5.10904758943227,5.10903823289318,5.3186945845581,5.67441391755935,5.75498408988244,6.22027784326826,6.34437595076858,6.62201122788344,6.34942210329128,6.50383551743706,6.75787804477552,6.32242424269228,6.32242424269228
"N2O","1A1a_Electricity-public","brown_coal","ktN2O",5.80007398331711,6.1857641399453,6.76955933128799,7.53061410737377,7.55399075938429,8.25460757196148,9.27851844595969,9.3639378571822,9.2265563130258,9.84336997789223,10.1320855324126,10.708902824145,11.2719818658094,11.6250432212317,12.0479807233287,12.274576717093,12.4055968655607,12.3967326228766,12.9332078838882,13.5198583307241,17.3890893844598,16.8209675600898,16.495621854275,16.5595288231769,16.2190440943741,16.2119021901291,16.0631018991125,16.0241177910927,16.0548764823265,16.0893668815469,16.9617994491179,17.3480010358862,17.9183006563731,19.3238807432295,20.1330153117139,19.6551153226109,19.6733013823404,21.3560859758363,20.8872040464526,21.3096645046062,21.5445206101182,24.0514568475284,24.1920977110877,25.2255063667647,25.4789788522947,24.6510922636153,26.9302705708629,26.362653118115,24.5169444477423,21.9557488059851,20.1505064323973,22.8611180343349,23.7857638486281,21.8109755038716
