"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CH4","abw","biomass","ktCH4",0.00465337092753607,0.00468973457208267,0.00454309812878629,0.00454943417584499,0.00450662138356155,0.00436683686040475,0.00435743633469764,0.00430618579787587,0.00424199706680607,0.00423026073124631,0.00464495287286535,0.00459881021987161,0.00465072777019094,0.00470415270578975,0.00487292647677273,0.00492445421277233,0.00495443638401695,0.00420433007279905,0.0042246260321653,0.00451670265818681,0.00761911327048942,0.00782658813502822,0.00815454085400734,0.00812727039956379,0.00799478706897508,0.00853762849390742,0.007121617095454,0.00867917234139252,0.00900076242154202,0.00762035723412399,0.0069062627885043,0.00728567604092162,0.00766689682762601,0.00862385410871648,0.009272058004826,0.00860007818303717,0.00790366586921362,0.00770520271852593,0.00768189676127116,0.00983207241454864,0.00944253195187493,0.0133418181045424,0.0150676521208341,0.0163524385008269,0.0169615960927282,0.0170285726984265,0.0172235380589461,0.0172197488264856,0.0167351238653758,0.0166382657791182,0.0135739880338368,0.0138064144077865,0.0136845016124679
"CH4","abw","brown_coal","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","coal_coke","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","diesel_oil","ktCH4",0.000272111905597757,0.000180250911670002,0.00021856001174505,0.000195954222244659,0.000225503411363528,0.000177162153400113,0.000354385990061552,0.000173982953123725,0.000157932321153077,0.000162521727428203,0.000213177944820156,0.000216028760843828,0.000225606688358223,0.000130308410619013,0.00034708280408008,0.000370179969197636,8.05737005926512e-05,0.000204167532129637,0.000289104524862444,0.00033657765365703,0.00268132257143341,0.0027970825080742,0.00232383210695359,0.00239060146051039,0.00253535556619217,0.00274800853677148,0.00174452595335661,0.00267393280121371,0.00298580214155344,0.00287474006205593,0.00253472579378072,0.00270746494348595,0.00348609472675153,0.00386240948505652,0.00392614526673689,0.0044484481887157,0.00471961861907627,0.00510088372228569,0.00538776277551596,0.00583827440477788,0.00589227756767814,0.00399708640291599,0.00529742832682144,0.00628575539304093,0.00614413702026986,0.00629369748181804,0.00640337406209168,0.00646258312199193,0.00653216512027874,0.00676033261042552,0.00602579654365647,0.00613854999577276,0.00642239889339209
"CH4","abw","hard_coal","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","heavy_oil","ktCH4",0.000154600896075871,0.000132829703784519,0.000110554061040366,0.000132775351519356,9.69086183384043e-05,9.95735204150186e-05,0.000214023268145125,9.81088959766606e-05,0.00010777772068221,0.000108001881440847,0.000109826024927605,0.000126575767105123,0.000140967609772261,6.32359567215937e-05,0.000152379838863252,0.000195090913382602,3.637526215812e-05,9.66052535358184e-05,0.000172264087177632,0.000176325634809151,0.00262379565228822,0.00300198106535125,0.00275801484645901,0.00320032513989197,0.00348658377632248,0.00377995619613122,0.00265283763919725,0.00396330854149119,0.00392721075189134,0.00380240454434913,0.00305875499652224,0.00308329164703311,0.00267536670080023,0.00318148876243729,0.00328220460103599,0.00335257335135217,0.00343879125043859,0.00377990545094955,0.0036575098092269,0.00394764752368794,0.00359656208386502,0.00203898747144538,0.00295615656758114,0.00331154425295192,0.00338284124284872,0.0035163947825339,0.00342989127722865,0.00397613824871707,0.00366450843085162,0.00332832122367119,0.00334932337372574,0.00372016404717801,0.00357269123940664
"CH4","abw","light_oil","ktCH4",0.0020808592175013,0.00192048435786507,0.00179454326386519,0.00216163237534756,0.001865027323016,0.00172002117940357,0.00386927628741371,0.00203553724664738,0.00182826912075844,0.00180617156804188,0.00243875407387796,0.00291743181375795,0.00351483509803291,0.00188829510296369,0.00516856194998378,0.00577735322549725,0.00104975539913793,0.00273493035214538,0.00387980585218619,0.00449933961880691,0.0195055653313854,0.0212975201412223,0.019672183295834,0.0199796526850577,0.0223617447887123,0.023727848650707,0.0157968358437884,0.0257719445893486,0.0254874387657321,0.0252554817229908,0.0197773163694483,0.019339660482036,0.0197199288534096,0.0214287323486888,0.0219667015300007,0.0234576089700854,0.0237178432195316,0.0245829046102076,0.024002672308621,0.0277305340537095,0.0280899800235674,0.0191339038609754,0.0226151267396966,0.0254296980617554,0.0256967201059336,0.0260256315973821,0.0257627152869609,0.0252375143258594,0.0253873800049226,0.0257007082178806,0.0212204394644087,0.02113163765693,0.0220146377993429
"CH4","abw","natural_gas","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","process","ktCH4",0.650164866335167,0.692321173382031,0.696398216998815,0.700492927326246,0.703034365508907,0.704072901933094,0.704014346399149,0.70150749364741,0.698201092863293,0.697253313935373,0.69666272012632,0.702086464082749,0.711024427531058,0.720828338984859,0.728911396436977,0.731570125562274,0.727076755203536,0.716326786116697,0.706850327023234,0.704263445998245,0.72398365047243,0.756463484765867,0.785874870788643,0.830499887014839,0.875878123563926,0.911156285210391,0.936261021615949,0.959037625188909,0.973452153193736,0.985353472742346,2.84654603539939,2.85686581764063,2.86864268969716,3.01465899270492,3.25976529505557,3.28187557777096,2.28707612495066,2.31765804748201,2.18610396884126,2.04880409839302,1.6745331988969,1.90877694852511,1.18865893278116,1.19743565605042,1.21948173472043,1.22005598892947,1.2274692134286,1.23514698639787,1.24252055004901,1.24808938983576,1.2508835852124,1.2601651137194,1.26488752448027
"CH4","afg","biomass","ktCH4",14.5097375821889,14.9852615031745,15.2224438777548,15.5187350723254,15.7880404301281,16.0879533174644,16.5063888516149,16.8798188227321,17.2932934194578,17.6555221377349,17.7568467275316,17.4828144798405,16.9636137546639,16.4171608023339,15.7461986186216,16.3957642886302,16.1973664219336,16.003894292708,15.8486454345608,15.8161370821875,28.4175827385584,29.0322418459434,29.8684349040131,30.8053775573414,31.7117535661682,30.7582811709643,31.284567542832,31.7177578200547,32.0988843911143,32.6200500122858,25.9538166353815,26.2107998745445,26.9884503204135,27.3655237341524,27.7108303428321,27.9289986395234,28.1627116510032,28.2371807906352,28.3302936105285,28.4462577664544,28.6330048955862,28.8180148214163,29.0282323753073,30.6533435264465,31.0322457801419,31.1144958934987,31.2375914550512,31.4023672770126,31.6844226954851,32.0208337676012,32.1941305374479,32.5034714175541,32.4606024032275
