"em","fuel","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CO2","biomass","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CO2","brown_coal","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242667955500566,0.242667955500566,0.242667955500566,0.242667955500566,0.242667955500566,0.242667955500566,0.242667955500566,146.998528079167,150.438118550816,138.972816978655,140.11934713587,167.636070909058,172.222191537924,180.247902638435,196.299324839462,104.595764157978,189.9121886592,290.503818189111,350.565116541369,336.663699935011,388.843429288493,494.916758991006,446.771624043347,603.202334732007,615.681893679678,648.379964715274,675.057486419379,697.573389306583,718.201261561645,740.257914750622,740.02089244808,394.969827825866,321.718769355496,334.359273352841,316.775825945278,345.419740269393,369.847678739343,374.515977675104,456.24351810524,553.954693993049,517.369968563187,473.997129298772,575.748996292945,554.056330553529,639.126623913056,697.206889829404,625.042668637014,741.542690236185,737.757249015421,816.208288393151,815.324486842287,961.683010226539,1035.08534471921,1145.74014330625,1340.57664190911,1340.82442427909,1533.68543882951,1610.00375572704,1741.52558333266,2014.76255050549,2080.42278251366,2305.35437215255,2493.64192032783,2667.82643270705,2743.756314594,3090.56097223806,3308.38742074406,3780.27898050087,4277.77888331455,4527.80732881915,4935.5683869461,5316.11660533692,5827.10763331186,6783.94749204622,7160.65359115311,7505.25081631289,8302.61542238768,9254.31204351675,9950.25282998973,10746.8524251233,11835.9150528034,12318.4271554352,13963.7314682107,15071.0179757193,16273.6714301648,17158.3269895509,20249.3489753173,21896.0132486345,23684.9788564984,26703.2441233427,25194.8994893497,30350.7783871533,30387.8832015274,31805.0633212625,34103.2535372617,41347.0988660703,38426.9902176331,39584.0748651956,43140.3158503579,44016.265181108,45698.6815352652,46767.8795836342,48641.8490203865,51961.0201689834,55048.255218653,59399.0396346902,62971.9877669121,63958.8242445451,66809.2634935205,69024.7046806144,73676.6437573549,77529.5713832432,83353.2709946581,88493.2029017734,93893.5231000915,102551.761845114,107343.012249397,105111.503447666,109568.918558586,114600.89528602,118343.848293691,134354.478643228,143524.961745796,150820.642313312,148159.557328348,153772.51045908,156660.913121574,171463.235737268,187687.925424621,163636.575392505,158895.859717011,163599.850196758,158072.758969329,147598.204074774,131693.296182983,150576.767313733,163415.170106863,173492.402071157,140192.058698081,174669.696307694,184752.780936852,192609.386194499,210964.467442646,225545.118647592,242749.962345935,208451.895728545,194304.114879344,182988.885399596,191226.718275376,210651.464112554,227680.558878804,250678.118864765,279894.92004787,293433.876826689,311433.013386638,355267.930068934,351870.603355907,335690.155526902,363993.229393185,333283.339328517,216383.415900788,231641.068573079,272419.870316063,300778.303941654,333494.695432419,365650.589809152,396639.090709556,408118.435726373,420900.374969444,437788.133539587,467568.515602604,481169.938904268,491280.701552282,492074.097819789,493517.569742864,499886.86049011,503759.05814839,508240.2528337,520501.036516963,528543.626466057,513111.721389779,505984.891241967,490963.189835329,494508.376975952,497671.291008383,519673.015123731,529519.240559707,550811.841909737,573611.553024194,581383.873236136,610603.951604147,648803.973417957,658799.361153882,657561.072488531,682960.024885256,710227.065067377,725937.738059754,756301.011566209,779674.863255709,812169.52289217,850094.906688549,860001.485140821,888866.23434641,908064.187410513,925931.139454136,873433.44727418,840754.461113571,818139.451621914,788609.637394519,755808.664873599,750776.676068014,767506.15008958,763552.978380443,744068.784493409,736726.204104524,774305.667100766,765826.280899561,762943.590292226,786031.758203998,773892.436754267,757343.884999026,763633.828992953,761060.142412897,768681.679952133,738343.327881091,747370.87057053,786835.036676091,778820.077579435,736364.391442014,719425.165833011,716879.25757255,710461.350645203,710477.387133525,683865.299943178,626171.490547986,557296.500745906,595319.049100239,587868.477472987
"CO2","coal_coke","ktCO2",366.177443778552,366.177443778551,366.320930237712,366.320930237713,366.464416696874,366.607903156033,391.861519968347,392.00500642751,392.148492886669,392.29197934583,392.29197934583,429.741945186819,429.885431645981,430.028918105141,430.172404564301,430.315891023463,480.105692352285,480.249178811447,480.392665270607,480.536151729767,480.679638188929,533.052195782648,533.195682241809,533.339168700969,533.482655160131,533.626141619292,588.868428396228,589.011914855388,589.155401314549,589.298887773711,589.585860692034,659.60725276254,659.750739221699,660.037712140023,660.181198599183,660.567948784416,749.96001284164,750.246985759963,750.390472219122,750.677445137444,750.964418055765,838.77813106222,873.402334824512,874.494086590742,871.954976890217,872.510209424506,916.972351885383,962.239219770806,1002.28443521938,1056.26033054924,1141.96778218536,1144.90473046236,1777.70222392135,1280.65710686492,1465.57177970145,1390.65123413968,1443.09608214637,1535.57534979665,1439.92402638489,1441.41087509352,1580.98299986545,1665.83585481318,1719.35762777518,1721.02104431874,1762.99671564684,1829.70939228265,2104.53667501287,2182.05966840134,2199.45619053248,2258.60093642631,2312.42114632443,2356.95200064642,2452.68277049703,2581.35353107394,2692.39619496672,2786.25426464615,2833.53319400935,3050.71657235635,3089.68864537509,3093.66403360895,4210.07848587508,3946.20095005498,4020.39585854748,4160.16144637906,4273.32081622461,4401.85627272772,5102.58765502886,5203.96729095076,5431.51202527222,5681.00647267469,6086.18714923629,6332.11111683217,6689.25351042178,6845.32836848826,7328.52729520175,8043.63881349318,8406.81969861852,9134.33872482957,9154.49781601452,9569.21670015492,10205.0720114325,10590.9275187863,11334.1448707563,12109.6114338258,14045.3982251722,14607.0689814582,15484.4501075399,15745.5498279451,16297.1006375376,16952.9961433099,18302.3562535206,19439.4819140832,20171.4423082383,21407.0716459837,23052.3093338788,24591.6720445025,24972.2427556714,26984.2946641955,28280.3427123651,29979.060642211,30673.7088779038,33120.4550612222,36975.0798203276,39208.8051004432,37111.0819343932,39481.6747282592,40109.2690833601,40389.8601687147,40912.1145332981,44089.9020300326,51051.993796444,51016.1075389418,54254.6349479124,57949.2537119461,58711.0602304965,59354.2192656662,59739.8590721117,62874.3308535296,69380.6128851237,70071.0189600253,75735.9910289567,79596.0504445703,79870.8944263283,79781.9341029002,82886.8572969912,87324.0827948166,90486.7732801031,95007.0582743029,100311.965341372,109074.42700506,115448.805743012,118231.239071932,120182.478123309,131197.499931843,132547.354758785,140608.394542225,150533.968902562,168683.86730205,164667.01638066,168933.418203202,177897.803317401,179725.967865058,190318.276180043,203008.417635324,179238.737001135,173622.993114875,184809.516531358,189134.826673933,187184.005732055,154363.611021957,178733.311139629,157744.236043973,163409.308756246,165725.576406157,174404.536326012,175740.667193937,179286.582832052,190196.312296455,186840.688213182,200713.405040407,179368.616256854,156787.191350943,137986.747244029,144993.917690008,158472.699187131,165946.374798644,179225.940544452,193833.219734753,181450.679844501,193938.276977583,217081.696062439,226344.982092754,231165.748974679,232734.826511022,220690.348536595,153034.236020775,174806.203548013,197892.741954736,206146.775065373,184526.192826815,191682.721669345,212037.844670466,213180.898181757,217193.018631083,217696.552185681,235088.92990196,247944.494090486,251665.851849955,250918.452495752,251416.037065786,273968.395972804,266491.619246612,271023.297582768,293328.923118498,292851.867714656,300844.705798888,297953.191773964,283938.043616354,282665.400539874,298640.081313991,307778.452780077,312605.2335654,307036.988427981,301949.624103247,302633.500057006,289754.366591212,263607.828911569,285475.498954949,289339.309561013,307770.086785458,328412.53012877,333102.231608594,295436.543468059,298195.115828974,303622.674642813,312317.421201995,307821.923600935,302383.087782733,312176.811147457,312754.289007747,290829.60461649,258814.063578589,272607.582668224,271980.878129954,259742.73222661,265215.904293779,279865.144333227,256618.070832895,246985.433214902,226196.140884503,226400.130933646,219460.508305148,212193.987337433,220212.652037119,236393.472402262,303669.03899548,297082.77326365,321155.199807465,350570.036947738,352341.634276962,424361.044289114,472611.261122973,563552.981498228,538850.394109974,591614.029795712,546727.56083441,556543.620462736,514724.265304602,467693.575119069,503676.6026892,402234.795462755,412262.24963364,401269.61388857
"CO2","diesel_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7895832726453,15.170909308944,17.6789428142718,20.5076621220479,19.3839689253472,67.3808639550774,221.320178722903,323.558814939467,298.758548162663,258.71746559837,316.899974482835,475.591164747837,502.01639046108,572.235043098936,661.551078015273,797.207405153671,859.169663171797,956.960854283327,1442.60693329344,1514.00930823959,1450.48565314125,1602.44040091853,2136.75685471518,2391.12028172904,2993.04978465653,3577.57258279713,4037.13042597801,4472.27048508742,3873.59509372716,4366.10679436743,4461.16069765614,5129.39462134577,5517.15775419872,5795.82844205262,6740.72028461,8150.53427912692,9527.69730802547,9460.68053713637,9868.8496812818,9676.42528490306,11157.0897076666,12175.0702036402,12801.8160662637,13025.7054438315,13537.7305804978,15077.7278992563,16767.4148421679,18256.1599782165,19773.8452544545,22303.4170836507,23077.9010992375,23199.7321741813,28394.2535563787,30958.670454294,32558.2102619293,35098.8789496538,37156.520992595,38165.5796967215,43362.9391625879,45165.8465483296,48332.7863343667,53191.1267480236,58016.0902671911,60572.409520941,66896.9743152966,79986.3592087263,85013.3110190409,97255.659881202,112935.784077461,114098.14893546,124314.401935965,125903.515320582,139893.027155462,144914.217488902,159393.978490325,152194.558856672,147486.547779234,139843.834440822,150827.119490558,157654.055538121,169419.721276563,183778.657717245,201983.422844317,194408.848358012,202891.881621179,212627.498664298,218918.742840228,209370.860822871,223605.110235233,248519.15688674,247316.475375192,262903.19358431,290349.451402596,325756.717504985,322108.648970834,370475.952360548,402273.812694709,427164.448890713,453509.959927276,481603.068774426,538021.510356916,586609.728414732,613499.540750456,640045.191173289,680672.73017106,727138.781081595,770511.710510655,841792.933567223,910701.615591912,975123.015895253,1054833.14383168,1121368.51263435,1190528.66598329,1316525.4397532,1409688.03291785,1548437.22519221,1639754.82279131,1790988.39556641,1934515.06449943,1879477.92859647,1894980.13099854,2031148.4890233,2118213.49736277,2243925.73459216,2274262.00160751,2176250.3239165,2121091.96038382,2077543.65794798,2104374.96297256,2187644.92319464,2235264.39636939,2292089.48453139,2361849.34544303,2453693.41508141,2494425.14892688,2551837.10038036,2604652.96885556,2623136.02705441,2665298.87617893,2689969.8047065,2783552.82035578,2900954.00828799,2964343.02245041,2981646.80704548,3058111.46472502,3139223.16269861,3235502.7653437,3267878.8120727,3374216.51674654,3548528.28361095,3627444.0854576,3704886.02875329,3799445.23163098,3847286.2009242,3731370.81962041,3858773.65982923,3947950.28612603,3964751.68482362,4078485.7777734,4100184.5983648,4206871.99602569,4161950.46611861,4233364.85431354,4284098.42631683,4238716.62412406,3876748.00213774,4087933.93318551,4169290.34608647
"CO2","hard_coal","ktCO2",6735.45551915454,6735.45551915455,6738.09480423259,6738.0948042326,6740.73408931065,6743.37337438868,7207.88754812346,7210.5268332015,7213.16611827956,7215.80540335758,7215.80540335758,7904.65880872567,7907.29809380371,7909.93737888174,7912.57666395976,7915.21594903781,8831.04787111721,8833.68715619526,8836.32644127329,8838.96572635134,8841.60501142937,9804.94406491346,9807.5833499915,9810.22263506956,9812.86192014759,9815.50120522563,10831.6259602705,10834.2652453485,10836.9045304266,10839.5438155046,10844.8223856607,12132.7935037435,12135.4327888216,12140.7113589776,12143.3506440557,12151.7184305697,13795.9930341878,13801.2716043439,13803.9108894219,13809.189459578,13814.4680297341,15429.7104974937,15635.523465778,15645.5020608902,15632.4745961144,15639.3198412559,16376.3305865852,17195.4970905625,17908.5136462184,18854.1968733272,20094.1908199586,20175.5655483868,26108.8200768982,22702.0790449584,24424.6915021965,24048.637539675,25202.7168055061,25642.1889257557,25207.6361131692,25210.2215884802,26636.3613628955,28255.2628258905,29226.384718397,29383.7773050844,30073.4291134035,31003.4872829003,33959.5458383455,34752.9654192238,34956.7638058991,35338.3829063904,35820.6174476036,36331.6758658131,37800.0416739325,39900.1183464857,41789.3219102072,42779.3877460973,43364.0432674113,46226.0443085396,46727.9199568288,47069.1825755055,62437.6724799684,59303.8886319584,60302.7417791603,61446.4653536053,62441.8999329535,63652.7522819698,74057.3857439116,73916.584661418,76302.1605403314,78996.9520555134,83508.3474454004,86044.0131570854,90492.2147575763,93481.4637704663,99438.5335288521,108594.857002887,110826.563181237,121052.406433311,123271.052846657,129808.701885537,138887.074911261,138918.440632652,144103.906114334,149963.244714228,174402.269569222,175520.431450759,187986.563618176,190497.515912011,194514.579386098,208948.574675746,229794.05544329,240437.803048524,244865.516789765,262413.790142163,282734.385503204,300515.918119268,308829.960841773,330992.688136186,340509.419482182,361878.352791636,369771.629437783,397604.924586906,445932.159084759,476149.995945529,460873.215977143,490676.963762823,494723.719081536,505073.503082261,509540.872894539,547990.233446713,619335.765799136,638326.632281836,675695.462881628,721705.642450358,728941.45657739,732085.024278297,738446.615011866,772934.198378672,856183.683472045,852721.935638101,927568.869335894,970598.465975821,981021.540850358,965175.615588019,1003019.23275756,1061779.92211184,1090528.81364645,1136930.34070077,1198192.15142968,1309953.9465411,1373626.34255196,1415729.39051508,1453539.4811308,1590643.02881494,1596269.52307023,1697369.02982919,1815786.57565581,2021507.97632779,1922018.5488818,1998515.92087972,2100414.04968973,2139220.09006003,2236752.46214561,2374468.71577052,2121838.9563471,2099512.70073219,2271557.824978,2365769.42548765,2330811.71654573,1950316.03475873,2246421.55802471,1878518.27608442,1948580.15980014,2163894.56828829,2158668.57613002,2160891.14425795,2189294.10891164,2314735.2737767,2258304.57043802,2405896.81537246,2189832.61774045,1932582.21572404,1720354.65470085,1810408.3803803,1971892.74441153,2051059.37593684,2242607.64005368,2351059.76911555,2164257.4282398,2306410.25374586,2608863.06735776,2692965.39600454,2751550.74099424,2797351.72638002,2700663.99016055,2137834.36657077,2234192.97100218,2437714.57095466,2483612.90422965,2363350.70870813,2424988.6857312,2562180.39165907,2541092.1414279,2517966.6653592,2523839.2545661,2710746.00392525,2855535.17917268,2884778.40250623,3036409.19884005,3168490.85224383,3308639.26054009,3109643.45351734,3093707.24428798,3184464.15870342,3200666.70384907,3260942.10530342,3300871.9443566,3204667.08881731,3253932.31019442,3358921.74012601,3512473.24386883,3490312.42240642,3502807.47448787,3643998.92723894,3684226.40845679,3836380.48314416,4055529.3791499,4238513.83457328,4456490.98505389,4643950.80139949,4787270.97969755,4832213.188859,4941836.68587218,5114222.33912022,5340029.6355249,5510298.47024635,5588288.71969797,5897398.50588318,6046305.57221185,6089864.98191716,6113732.70448209,6159462.82530324,6110642.22874476,6140510.4546716,6159379.81522603,6360601.39700046,6408398.35316974,6398243.74670067,6476275.16379635,6381102.6481547,6696322.95327186,6801617.49483839,7118507.2044598,7773211.30577993,8400383.05872394,8955718.43222391,9489996.97289968,10032366.3315786,10122414.1119273,10105463.9293912,10676848.5134308,11180987.4485123,11230507.2562635,11537649.1234963,11656985.5565852,11293105.9525548,11047080.6482251,11264453.8045557,11476121.968702,11239556.789283,10877330.1193787,11658852.1146558,11678617.4210663
"CO2","heavy_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55990337568313,9.41772283431517,13.0606977727152,16.1848460490596,13.4015670849544,51.5733203116277,170.636208646107,264.11032572252,253.64719532523,224.082288413704,268.749928245968,405.249516532743,427.950325729912,518.809347055359,588.709924336178,717.314293990787,773.130848913688,852.49647856466,1275.34444713879,1408.00230166866,1390.28477248418,1610.86169274474,2111.90202401595,2360.53841232328,2952.77360627058,3480.63667654936,4060.75012820001,4430.2502639022,4063.33969040304,4671.36722854751,5091.53231767244,5623.97688008219,6204.97621398339,6621.60494399499,7398.64566682935,8849.73433050049,10479.892148691,10505.9969104279,11426.8417471652,11010.5425870373,13092.3544958161,13765.0788824771,14774.6984808862,15615.9207397854,16441.3531181393,18609.4059738476,20843.2399990553,22095.5860480312,22619.7735362537,25046.4979447217,24032.1082778139,25265.2436387927,29427.8469094879,31704.4170232199,33514.681594514,35623.5861983852,37918.1073253775,39546.3004818858,43769.8697006444,49594.0274688197,55743.1971213283,62729.379351153,69786.3883290975,73132.0095205857,80014.512650911,91051.7683441938,96915.3557979894,109986.756717189,124790.857301311,130188.466235951,141309.494952203,146445.400295892,159526.053019532,165867.464466644,178913.928350474,178720.083864618,176986.462199269,169749.545172302,175508.44238686,186876.551096705,199598.452219229,213217.02260701,229960.620750944,220511.07045393,232875.530123556,243874.53865023,252372.073070089,252341.917508784,263537.20044446,292930.568290966,286607.485637799,313015.207175939,351176.576426108,388467.28590933,401537.019043481,466526.024115426,500453.493286347,534953.864970275,569972.347832156,607340.125426282,682740.263375903,750931.456113838,803650.564939025,831263.024266218,882176.377636479,970134.70139519,1044106.5358133,1128802.03280473,1228430.63729282,1360450.41781975,1470612.61486085,1574518.09394146,1711246.37775102,1860699.5514614,2005871.92170222,2277019.94502437,2406534.7867048,2567905.25643805,2789097.32054036,2754295.12352708,2661833.56429791,2876384.78085072,2940985.44493307,2991759.36449894,3015571.09716458,2819307.47617807,2604602.38226565,2404737.78376646,2262245.74199517,2190261.14887026,2057492.15540278,2101708.21929023,2061067.48967648,2113044.97102427,2103850.313734,2239878.91224993,2236328.72794492,2153785.01707522,2124653.33697139,2098482.88030926,2035789.98658208,2004014.80551333,2160105.51379494,2171020.61509271,2123611.61182508,2073424.01318218,2053929.33644667,1902442.21192679,1950641.06308653,2033883.71311405,2060001.74795126,2062865.0857198,2122130.47550355,2071080.0668952,1862891.99566995,1854065.70042994,1918917.95141321,1911329.00522067,1824974.20168895,1787338.15896865,1736824.31575225,1738231.78621678,1711655.95886927,1660718.60141876,1616654.3871712,1583537.52095188,1639212.35452538,1697128.70186995
"CO2","light_oil","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78355368558662,10.7560731905166,13.7179268197912,16.8058373001611,14.8097279577705,126.644096473645,488.364558579376,719.675558065745,641.602919216935,533.907701882781,629.90680387235,913.595354516219,881.415651250568,984.355654852115,1129.28471127583,1351.89589651038,1373.48330188623,1591.06957153207,2488.94447335925,2756.46973987478,2372.90199143812,2545.53867923989,3596.23888474398,4133.6677445888,5326.176615776,6713.52820852374,7308.55612742376,8023.58689980616,6518.41540439154,6999.84134735901,6863.30909896382,8349.91902490505,8769.48112997688,8975.11856640352,10762.9556264983,13546.5719162392,16082.5325033765,15470.3930114318,15730.0408469506,15542.2978651011,17754.6260008481,19740.5770605262,20336.1744347006,20154.3925969925,20954.7722230433,23446.8874987345,26201.6425166419,29810.6419265396,32655.820713517,37278.8150295176,39668.6075376471,38782.4347497304,49036.3607727052,53315.0047212647,55469.4261832962,60927.1702832323,64994.6711039583,66133.0997119943,76514.2842921043,80902.9459791367,84926.9247856574,92516.6720941501,100800.002402041,105577.746495236,115997.615532254,142227.165871519,150370.800075518,172114.169216824,201687.621023776,199486.207784626,213064.382446855,216911.327870526,246772.907064428,255109.00987217,282495.724354109,262695.623872368,252281.299879953,237174.44428767,260756.730109544,269348.103360969,290806.263714903,319197.443040344,358184.069090978,344672.009593688,362641.069478214,387007.634223061,402663.798521252,383562.191098443,413362.54190406,467913.040734357,470717.809996322,487831.765262029,532354.270999461,592772.184446775,571579.296594572,658654.821231356,716070.72962936,754714.167884882,796075.798574052,830719.536759061,918119.892646388,981598.690829896,1008810.6176861,1046092.32490351,1107391.64839644,1152599.55844487,1197950.10103652,1273689.34416997,1362871.58236627,1443975.98467119,1525681.74589371,1631326.53656507,1721384.02702891,1868989.58919916,1993947.227895,2130633.11106118,2248684.77336026,2393353.85791549,2519805.90211167,2483902.35539648,2548356.00759584,2645567.01898167,2769406.49439284,2843705.86109989,2882638.38401488,2828061.29163998,2799390.89102686,2818027.4225822,2834032.87808599,2903023.82558769,2954288.16778011,3037547.99866412,3144839.14682377,3250473.92005873,3337536.93621509,3312385.94648448,3305566.11061589,3377464.72974487,3419194.76550957,3481141.29449969,3555876.00581764,3664375.99056253,3742449.94009483,3804693.65581692,3891966.06147529,3949218.839269,3954296.79991771,4012173.90574471,4017146.70755184,4137560.25256286,4184463.41271173,4204384.14312633,4236464.36046481,4192049.93690834,4129566.05061697,4265060.10252061,4253182.78263996,4302010.4393478,4430461.73689058,4483338.45800727,4651657.35022878,4791993.82334882,4889177.06107645,5015000.97964833,5052385.77755831,4208249.65852869,4546838.49217251,4668870.80952787
"CO2","natural_gas","ktCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.071615382345,457.840312321284,1408.95913033143,4465.30453565323,9226.96869272683,14170.5051729261,20168.186041717,14702.8563303608,14056.8646713236,10761.9194338107,9352.63336488819,8767.30331524285,8058.3944738005,8473.54723985298,8240.60799221528,8770.44118146424,10182.3023441892,13124.6927097248,13893.1191232708,15480.5215636957,16485.6981417165,17486.4368293575,18253.410134651,20665.298406222,22900.6978015743,23923.327924601,23680.3370963207,28310.0494965089,29985.1911493883,30949.5523145964,34159.3363648362,35733.1376347778,36481.598152719,38635.6416591152,46429.1755068899,49128.6323106009,44397.1205162765,46257.1953766586,50787.2527153491,42807.2862048581,49096.0748921995,64189.2123218136,72852.6342086419,77610.116134914,84198.8281637923,92428.2073589458,100625.068493895,124495.746862847,125700.817348328,112058.436966935,106340.9216449,109286.548537772,122322.401461903,131849.962104772,148489.224194891,166059.099582059,159682.623935339,166613.29093464,180234.631268656,179691.652047315,192159.729280272,208950.597629758,222306.954201808,239113.293777099,243691.49636164,266244.246845193,297764.426218733,315383.031352689,366846.349899654,426413.439309241,451434.955250631,472115.376701036,490626.656764673,526903.219260286,556621.994035665,604839.02640281,652336.094106257,691058.141332179,844841.889927921,903807.207675483,982192.693119422,1059096.75573225,1167112.48894083,1244344.7907019,1352354.70708758,1501970.8609645,1627554.3018377,1719646.78711185,1785524.43867397,1932153.11496172,2027649.48805227,2105301.37443982,2152800.91278114,2125346.97836919,2218344.64778768,2253763.07106733,2324340.55435111,2461687.3147771,2542461.14190281,2566815.26284165,2530480.98940942,2562106.30639548,2749259.36575683,2808698.39361274,2835419.58239301,2992508.60632333,3117870.14510246,3278889.3608216,3390286.25188695,3495816.45146247,3456998.04349128,3499915.12743496,3514605.99582473,3620601.51054076,3778505.09535254,3825010.67419087,3843911.39419867,3983159.93459859,4149073.89077333,4216267.18368599,4337246.29166972,4481968.85556348,4615426.86430318,4724791.81170719,4869286.79404382,5057726.04524016,5187217.31020108,5094620.09066972,5558087.98778749,5646046.79748821,5744790.22675817,5824382.15649762,5869154.42094254,5961102.52677759,6142005.34696599,6288843.02348932,6560059.72266681,6722761.36195751,6693208.77798085,7021400.35469684,6766607.82687636
