"em","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"N2O","1A1a_Electricity-autoproducer","ktN2O",1.02186756739343,0.961141038169289,0.951857396392232,1.0638410816353,4.37285158552025,3.89338901536854,4.00939984837354,3.98584092794386,4.07812969880317,4.23675326988598,4.19299471012858,4.09409503986878,4.53770820759432,4.35859412706,4.38562722897222,4.42009429812088,4.37717399649348,4.5025166896305,4.5748113756941,4.57981401780805,10.1648115356166,10.7223313581076,10.948116986677,10.2554702393316,11.3376558551856,12.785377889111,13.2884301947027,13.6626639359459,13.4494489221563,8.3887410925747,7.16064138471151,7.58828791758854,7.86269682365213,7.85213819112061,8.79899994091007,9.35296136081216,10.1701518338892,12.6342669887372,13.7735027973547,14.4070816902191,15.9271655733238,17.2356790337592,19.0015737427677,19.7799788314786,22.0878262337721,22.5550530085013,27.968047170508,28.5695954463075,31.4996962721334,33.3680886388076,32.7930264099481,35.3329655194718,35.7020533487814
"N2O","1A1a_Electricity-public","ktN2O",34.0186384566284,35.5132601665099,37.8496753255189,40.805247114636,39.6024747165324,40.715494225871,44.34953156091,46.7946094740645,48.1632579904411,50.8537323478795,53.075744161478,54.4010656394214,53.935554729427,55.8639016612608,58.3257086555684,60.6800484733194,61.041845541788,64.1798520393022,67.0645164603191,70.1486446307577,73.8878065839136,73.6639133042195,74.9210592734001,78.7842536298881,81.6082942946428,85.90821729246,90.2307999559984,92.6561059408835,97.5003679002296,104.064459256848,114.767188921587,120.239224695404,137.192859891515,151.867045002091,167.704980343855,160.22297342618,170.722685034435,186.938042298924,190.770681361161,191.426271222933,204.289248183653,212.006487655179,212.314832720338,225.942683075015,231.329760222527,224.449588994684,245.145470282914,248.468853164249,251.559028038999,239.880788602534,228.503181289484,248.894259109644,248.299035506843
"N2O","1A1a_Heat-production","ktN2O",10.5258125274546,10.7783205324451,11.3774843672885,11.8969309361871,12.5080311168846,13.1414050578256,13.80349662924,14.2995465008178,15.0172945686993,15.3422018295512,16.095933721848,15.8902775287224,16.4292315243816,16.9853315561761,17.9249986962792,18.8784571887875,19.4268451464438,20.5003536116499,21.0271764361988,34.7901302996377,32.5343513702976,33.2894531956859,34.6511627998736,34.9852425700792,36.0501277864575,34.7255279444243,35.6795481082976,35.3545929645827,35.0045113518513,28.1826472399124,29.3805533074274,30.2183728636556,34.5210826547703,37.3356733154218,39.081370111914,59.7676439728144,62.5171243949769,65.5382540086733,66.461958156255,68.0610183260793,73.4251182591984,78.0435424389712,80.7846708554993,83.7479712409972,82.4602309142642,81.9642278221806,90.7660998806881,94.9308817214731,100.448812794561,101.643179718359,102.76421605269,113.231717584694,112.581811370543
"N2O","1A1bc_Other-transformation","ktN2O",3.98313903663781,3.98719328556334,4.12055920148843,4.97016050657662,4.94988030353367,4.73732641068519,4.70138620201999,4.98455374990526,5.20005220745891,5.27993721355802,5.19519287290834,5.13531900498324,5.24984219906097,5.41170729752006,5.64076570841853,6.01571805938987,5.98265078469231,6.2876891148918,6.38715733418092,6.95256818302523,6.12901447931166,6.23553346833775,6.20483789581937,6.42934810048372,6.60858434104069,6.81119251875799,6.93215832165296,7.28385013080526,7.43550348211698,7.07960852966615,6.92121405516919,7.7787070007211,7.78555773361011,8.29164499126618,8.12517202984578,8.24612303442104,8.85002909636866,9.6601208095239,10.1297311079383,10.4993179701152,11.4008038808225,11.0221120826126,11.1418056517793,11.5226499291224,10.047829030414,10.3652462866697,9.47100042001509,9.710645001313,9.58573081252782,9.867410581401,8.75681295016725,8.78354512270399,8.81906677666639
"N2O","1A2a_Ind-Comb-Iron-steel","ktN2O",8.17469058574756,8.39025638036678,8.36993890674681,8.42607283841223,8.36077907004299,7.82737830664957,7.09224643714373,7.46668477837106,7.27090791543737,7.80838607735695,9.01441888236569,8.66623469518869,7.73356057452613,7.78430546634891,8.24918132540606,7.40620260515321,7.47671503359742,6.96031309641687,7.29746248445595,7.25292082846889,6.74856419811804,6.63986341433906,6.52044159714076,6.60646088242635,6.83022356856015,7.35947113769519,7.15836883707823,7.18833387468659,7.23409363374557,6.48499196245896,6.93571365009976,6.96274211616948,6.81145017548358,7.79008617004627,8.49284904635001,9.14685351372743,9.50654755243011,9.81904562151124,10.55142208394,10.4651451339151,12.3476341326826,13.3233836538043,14.1363032176434,13.9907803997026,14.7227475299225,13.9951225869017,13.4217888416709,13.2427322155976,12.3935767634344,12.3701369092615,11.3476430250395,12.435363352349,12.3411686198702
"N2O","1A2b_Ind-Comb-Non-ferrous-metals","ktN2O",0.838108637019508,0.96840721394951,0.886065688373613,0.978452911293597,1.02690006225995,1.02836960000108,1.08309627704793,1.19872520496747,1.10688880983956,1.04733183149113,1.22787845869107,1.31963963604862,1.24598053079261,1.12584243456972,1.23859850338636,1.5051772572124,1.52248355662329,1.57410129608899,1.63460779977366,1.44712100271217,1.45805854242474,1.43409294074088,1.43622193661822,1.47351134052896,1.41747033645801,1.69750824768894,1.70266645982305,1.59311229657405,1.66510497832435,1.59439069709051,1.54868953308032,1.37483434850552,1.31203670362505,1.38687488883181,1.50830835064435,1.52922485163209,1.63961154659782,1.73013316127152,1.76165795928151,1.63920959699863,1.74686927556711,1.79725426744084,1.75726769583324,1.81611851032306,1.87740152994041,1.88651194265155,1.90944935649188,1.78779833927779,1.90021899989454,1.92460098432111,1.94164590988735,2.09781015238317,2.20845117624733
"N2O","1A2c_Ind-Comb-Chemicals","ktN2O",5.62714416645316,6.6110972098623,6.2773988707108,6.40706329853017,6.05933999797733,5.60336274653759,6.27335093142057,6.12029025821152,5.39741506243096,5.57715777121865,7.64436751223209,7.28497894923451,7.53047333409092,7.04839664343306,7.44413440887678,6.86131352914468,6.67058908639638,6.80738600555959,7.06925711224563,6.94424165136992,7.44536504935524,7.57769714621011,6.82487055961819,7.22291813521521,7.41921980996845,8.63248547348584,8.5533494255013,7.95868209179159,7.7724423088305,8.10820529737904,8.35629371402676,8.30244825996344,7.53322423468698,7.66123220419563,8.45819339543909,8.90770827818839,8.96164195900336,9.64303006775244,9.31466526926843,8.85840496863546,9.83704702171676,10.2256908413824,9.74460409756827,9.69914483129443,9.56161432490875,10.4115342147293,9.5316031647327,8.79421633371216,8.59337547798492,7.79715913377906,7.86794842928149,7.49102497209812,7.49477731335604
"N2O","1A2d_Ind-Comb-Pulp-paper","ktN2O",2.74833031450261,4.27489167622553,4.32258252156305,4.80233946340364,4.80085581153293,4.25809563495339,4.72469315832692,4.4394190829609,4.46518377944443,4.59667373962805,5.08708724707227,4.77273297782566,5.40492535992598,5.02394998382366,5.47600913713106,5.88479256088421,6.11732858093634,6.28495139260462,6.41033328442365,6.18582583239717,6.07781269022269,6.13289276816362,5.83019864292832,8.37081122868671,8.21063025629646,10.8443986938274,9.21626430855539,9.77855497342946,9.99184739053081,18.6684166215051,19.7847298870419,17.8026310384015,17.254677811995,17.516417979423,18.344960366644,18.5713854175959,19.4101296902752,19.545217258078,18.3709195984464,16.1380817964233,19.0687390263554,18.9418344896069,17.8379783711072,17.9978806346975,17.8255984562117,17.5992238573133,17.3281850664041,17.0746400329954,16.7958336249356,15.6139450310325,15.1768028341906,15.5781883976308,15.5403045907547
"N2O","1A2e_Ind-Comb-Food-tobacco","ktN2O",5.12149087790827,5.28114256447483,5.61845228068664,5.81107728365213,6.43371426890521,6.21845487383532,6.62071493388734,7.01598788167618,6.62210887692142,6.52398943503182,7.30080933754586,7.67606500278815,7.95752152435053,7.74945910472765,7.89201887874411,7.87627409623446,7.68960515495414,8.12728951999355,7.99065460797149,8.10191494036212,8.2430546760617,8.26615219376044,7.71707037257586,7.7601489815723,8.04204325320512,8.954609823224,9.37798054139534,9.48562772206973,9.53672963340884,10.0054643600191,9.54878555569772,10.0075890027469,10.2500090016217,10.0307886125779,10.8712488434861,11.1376400682347,11.7613150375421,12.1256302609103,12.1485763580375,11.8096567425659,12.3818155252603,12.4927249755628,12.4024369013828,12.8913740299573,12.2267066189761,12.1366161373977,12.2571093047555,12.4663042267672,11.5721997956501,11.0310333010258,11.2525456462236,10.415858109425,10.3666993152549
"N2O","1A2f_Ind-Comb-Non-metalic-minerals","ktN2O",4.86383415192646,5.36905332780376,5.33855064019012,5.50846868301696,6.0011126979922,5.68201397800391,5.80689598958568,6.00458120560192,6.24862728678671,6.41151806170945,8.19501400840736,8.61813399666316,8.93662599864187,8.87562336849431,9.29134104317841,10.3470541655744,10.2732241597136,10.521939691761,10.5922884887745,10.7474410623169,10.8737138763362,10.9484991381595,11.0867969546804,11.3631531538221,11.7758494110193,12.6728855549342,12.6571947434971,12.5996004406222,12.8151870692889,12.247512131844,11.9456346119054,12.4648098549824,12.557668829838,14.1523682941279,16.7114701249309,17.8825179134798,17.9447075828861,19.515662273103,20.0225253083773,19.2328694096532,20.0532442399746,21.6822978321573,21.3923949070876,21.4716000330172,22.0872588895928,21.877247981734,21.2942970470339,20.4130072540175,20.2956470258596,19.8143085375042,20.0235868393006,20.3362765233133,20.38534027743
