"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"CH4","abw","biomass","ktCH4",0.00400082227588879,0.00402749511715021,0.00390766438611876,0.00391041291269335,0.00387520405923719,0.00375657495972416,0.00374940987948363,0.00370261890732755,0.00364833002645661,0.00363640816833992,0.00399521145276692,0.00395874148096833,0.00400223920395986,0.0040496989486702,0.00419676757817514,0.00424155881261728,0.00426522221187982,0.00362001078177126,0.0036373329481374,0.00389058446269578,0.0066130847906399,0.00679274181376485,0.00707856163321012,0.00693176147075413,0.00695697333583964,0.00722265026777622,0.00627457152140831,0.00721933010883907,0.00751994811671462,0.00770080654695754,0.00627289154538543,0.00641022333372729,0.00693942375951557,0.00778480335244993,0.00790242506018182,0.00812915128675058,0.00851601699192167,0.0081667132378345,0.00827549097097418,0.0104541302731186,0.0107984478965933,0.0132536269262898,0.0148513329584231,0.0143137537612665,0.0163040988819148,0.0163941822907864,0.0165355572991882,0.0165179102790035,0.0161090823591707,0.0160524306370265,0.0131243067720606,0.0133472285800401,0.0131972342676268,0.0130814057980617
"CH4","abw","brown_coal","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","coal_coke","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","diesel_oil","ktCH4",0.000379426718027477,0.000266410168276561,0.000349717715382297,0.000305965930229607,0.000324106684686079,0.000262762475625766,0.000482683818636624,0.000251655323254033,0.000210482350373645,0.000215846557626661,0.000271844525499751,0.000281035517973971,0.000293642320560965,0.000164488931333836,0.000427977206851913,0.000456042648135712,9.60034746454342e-05,0.000244292680547471,0.000343858900000527,0.000407418412140272,0.00279484279557347,0.00289080798860349,0.00241653214222818,0.00243465928785172,0.00259445091903368,0.0027708860608989,0.00176195080801155,0.00270586626002238,0.00308992479978704,0.00304628823468117,0.00258295423651196,0.00275683709539125,0.0040436153019756,0.00446786279058384,0.00448533954011205,0.00508575236916354,0.00556846089689441,0.00605893866331236,0.00637321532621528,0.00705140774090629,0.00708784015661303,0.00499891667548264,0.00635720611473285,0.00707059533375562,0.0073431866651238,0.00751860136092832,0.00759218765302654,0.00759667887132892,0.00760414189736679,0.00779525991247499,0.00695421623681155,0.00707503980148,0.00739190899096231,0.00742439907839713
"CH4","abw","hard_coal","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","heavy_oil","ktCH4",0.000284595896652995,0.000274121854168671,0.000227777166999197,0.000273543567917943,0.000198490864794933,0.000204978411360129,0.000439537255885772,0.000200108362984133,0.000219437109419192,0.000219524439346818,0.000225355819165486,0.000255269408021269,0.000283290864085778,0.000125966444096436,0.00030106066041286,0.000384286312943504,7.07315281533186e-05,0.000187663596422339,0.000303065799178881,0.00029940691318751,0.00423024496658156,0.0047756404050354,0.00444824732245976,0.00445391371678503,0.00501082350349561,0.00553228395551239,0.00375865996562175,0.00577685225158932,0.00597546734522319,0.00601686826145024,0.0046431541287848,0.00478348293186199,0.00402513779575751,0.00479305659568208,0.00494646664555457,0.00523145991850167,0.00577439255923247,0.00626362516575981,0.00625575547900704,0.00672377919178328,0.00621656462273626,0.00368430252097005,0.00506136907663592,0.00542927961264475,0.00553321041103187,0.00573625515769954,0.00564979823526086,0.00597984637513822,0.00582531606263413,0.00544180161462772,0.00526303736611478,0.00565769465413549,0.00595764454854007,0.00649072050841639
"CH4","abw","light_oil","ktCH4",0.00207429709884655,0.00191474694991849,0.00178856243273118,0.00215631040861075,0.00185928834431494,0.00170725893907112,0.00383936142635009,0.00202119769027008,0.00181574054693375,0.00179322251587743,0.00242422971430023,0.00290063043149761,0.00349508052598077,0.00187762689933827,0.00513256728362413,0.00573411745606983,0.00104166111270195,0.00271593137985869,0.00385034571638719,0.00446643772751508,0.0193923442705213,0.021156689989911,0.0195722270200534,0.0198767104713174,0.0222790463545229,0.0235764772237722,0.0156884385579131,0.0256363907408352,0.0258499417484043,0.0256573471078639,0.0196213708511778,0.0191607575839535,0.0195486485193953,0.021238546199299,0.0216924826827779,0.0232640323257543,0.0235059185231393,0.0244514088447088,0.0238214917005177,0.0284869301647601,0.0290133242442208,0.0191444012309297,0.0224587789974035,0.0237960618381517,0.0248717581059736,0.0251895159408428,0.0249321588577993,0.0244250372683654,0.0245614783562254,0.0248605872585178,0.0205380672650266,0.0204474847969185,0.0202726353303392,0.0198622018398462
"CH4","abw","natural_gas","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","abw","process","ktCH4",0.395098163638367,0.437820129550571,0.442323736819334,0.446707561122554,0.449907498390405,0.452118230338474,0.453911720715398,0.453716781803857,0.452735187821873,0.453382122506729,0.453267321246045,0.456793350927166,0.462519010576336,0.468718199715589,0.474010604368258,0.475607102877855,0.472299150909394,0.464412104776953,0.457503703042883,0.454532277386454,0.520300171482708,0.541580184612809,0.555319108732172,0.581761261098357,0.609032450881628,0.628337240551416,0.639977314107087,0.651636293906009,0.656476864441921,0.658972198219622,2.50162502759905,2.50169524671411,2.50188461277368,2.64430804858736,2.88376465639535,2.90149084004167,1.89835655926933,1.92267936724201,1.79009256446135,1.64998506483984,1.27752170412276,1.51202326813023,0.805049534453908,0.811140719297059,0.830440157575739,0.828453809643977,0.834002187084412,0.840214113974619,0.845822416144131,0.849841395095952,0.852588977363025,0.862012983302408,0.869163887454858,0.870850091500894
"CH4","afg","biomass","ktCH4",14.5097375821889,14.9852615031745,15.2224438777548,15.5187350723254,15.7880404301281,16.0879533174644,16.5063888516149,16.8798188227321,17.2932934194578,17.6555221377349,17.7568467275316,17.4828144798405,16.9636137546639,16.4171608023339,15.7461986186216,16.3957642886302,16.1973664219336,16.003894292708,15.8486454345608,15.8161370821875,28.4175827385584,29.0322418459434,29.8684349040131,30.8053775573414,31.7117535661682,30.7582811709643,31.284567542832,31.7177578200547,32.0988843911143,32.6200500122858,25.9538166353815,26.2206339010946,27.0008233976804,27.3914055553005,27.7375058223617,27.9568605443805,28.1917222977397,28.2673110440579,28.3615297267889,28.4782950451694,28.6680930971386,28.8551140633599,29.0685824585998,30.6964718302985,31.078704462093,31.1467361281326,31.2711961287217,31.4355790740452,31.7181283204196,32.0594748670393,32.2282814404813,32.5389711237318,33.2833869878403,33.2400202161159
