"em","country","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"N2O","slv","2C4_Non-Ferrous-other-metals","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","2D_Chemical-products-manufacture-processing","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","2D_Degreasing-Cleaning","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","2D_Other-product-use","ktN2O",3.93843198622397e-05,4.14168699999999e-05,4.248123e-05,4.354152e-05,4.45908100000002e-05,4.56227199999999e-05,4.66364800000002e-05,4.76295599999998e-05,4.85927199999998e-05,4.95145200000001e-05,5.03877000000002e-05,5.12089599999998e-05,5.19829200000002e-05,5.27219000000002e-05,5.344383e-05,5.41624600000002e-05,5.487834e-05,5.559081e-05,5.63093300000001e-05,5.70453399999999e-05,5.78047799999998e-05,5.85932599999999e-05,5.940363e-05,6.02140000000002e-05,6.099434e-05,6.17222100000002e-05,6.23912299999998e-05,6.30053600000003e-05,6.35658099999999e-05,6.40770899999998e-05,6.45439300000001e-05,6.49655599999998e-05,6.53433000000002e-05,6.56868300000002e-05,6.600847e-05,6.63185599999997e-05,6.66212800000001e-05,6.69182799999999e-05,6.72132999999999e-05,6.75100799999997e-05,6.78109300000002e-05,6.81181600000001e-05,6.84337500000003e-05,6.875858e-05,6.909309e-05,6.94372800000001e-05,6.97919199999999e-05,7.01563499999997e-05,7.05271380000002e-05,7.08994549999999e-05,7.1269726e-05,7.16430000000002e-05,7.20059999999998e-05,7.22324716541789e-05
"N2O","slv","2D_Paint-application","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","2H_Pulp-and-paper-food-beverage-wood","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","2L_Other-process-emissions","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","3B_Manure-management","ktN2O",2.0052,1.7916,1.868,1.6549,1.7012,1.6723,1.7994,2.1006,2.2028,2.2717,1.9485,1.7981,1.6097,1.5864,1.5446,1.6227,1.7406,1.8026,1.8648,1.8966,1.952,1.9829,2.0087,1.9327,1.9969,1.81,2.0328,1.8413,1.6442,1.8514,1.7381,1.964,2.0887,2.0477,2.0951,2.0861,2.2077,2.2779,2.3121,2.2416,2.1309,1.7553,1.9099,1.5668,1.754,1.7336,1.6568,1.5633,1.2889,1.2411,1.3062,1.3558,1.3369,1.3369
"N2O","slv","3D_Rice-Cultivation","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","3D_Soil-emissions","ktN2O",1.2581,1.64,1.6932,1.7663,1.666,1.707,1.9688,2.0003,2.1564,1.4846,1.3984,1.7449,1.2505,1.5261,1.1502,1.6213,1.3702,1.7008,1.7582,1.4889,1.4499,1.5171,1.4866,1.4714,1.3011,1.1684,1.5933,1.8509,1.5551,1.5337,1.3819,1.3946,1.1424,1.1658,1.3842,1.8407,1.5343,1.8277,2.028,1.7884,1.9381,2.1754,1.8998,1.7902,1.3889,1.5402,1.2998,1.0594,1.5708,0.951400000000001,1.3041,1.5528,0.835800000000001,0.8358
