"em","country","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CH4","abw","ktCH4",0.657325809281878,0.699244472927434,0.703064972464252,0.707532723451203,0.709728426245186,0.710436495646718,0.712809468279467,0.708121308541034,0.704537069092693,0.703560269843531,0.704069431042811,0.709945310644328,0.719556564697412,0.727614331160953,0.739452347506677,0.742837203883124,0.733197895949441,0.723566819327307,0.715416127519626,0.713792391563705,0.756413447298027,0.791386656615543,0.818783441891897,0.864197736699863,0.912256594764128,0.949949727087908,0.963576838147746,1.00012598346236,1.01485336727446,1.02490645630587,2.87882309534765,2.88928191075411,2.90219097680574,3.05175547740982,3.29821240445817,3.32173428646415,2.32685604390892,2.35882694398398,2.2268338104959,2.09615262678974,1.72155455052389,1.94728874436499,1.23459529653609,1.24881509225899,1.27166702918221,1.27292028548963,1.28028873211383,1.28804297092092,1.29483972747044,1.30051701766686,1.29505313262803,1.30496187982707,1.31058175402488
"CH4","afg","ktCH4",919.969175600854,932.057460308451,893.358616320266,921.070147555876,956.100578048121,990.20090291125,1004.69485403645,1008.727720053,1016.36906646928,1011.80102345493,1013.14902397159,1002.22410790506,983.588316572113,949.019092588736,898.054459716959,859.201315273778,806.483530571407,803.827229172004,812.722212939866,806.088812959665,846.678541173337,875.461210495908,673.188290978193,669.634079560285,677.476567574866,668.356599641419,678.529462250342,609.541207185509,615.182488138594,616.393468816082,529.659039210314,443.522267670159,500.72701141514,531.955791468094,590.674093636211,724.158295724713,823.218919006905,764.21235992985,1178.50161631169,1431.19005505068,1509.84135273936,1707.0028191202,1736.6940591543,1451.94566629296,1410.91195624877,1444.00452439317,1309.24372715254,1189.800210645,1057.83721864422,1086.59355363223,1041.9156419942,1042.57640460779,1040.11270672006
"CH4","ago","ktCH4",315.30901564303,323.067311647916,350.66089098408,373.191788512964,381.163056156773,372.047370842222,365.100854815993,360.916085085908,355.732722600729,374.576801264888,384.461628491388,371.856513464562,370.908041230561,419.455942373829,450.623483227792,474.930329623113,523.413340364626,589.263825794313,668.175289663719,671.508050074546,696.913441954116,674.22863258974,624.454957918758,750.371031360346,1145.29211374417,1338.15049256097,1604.14217056184,1676.15980959216,1814.55119711505,1813.22774610541,1701.80713346974,1631.21154641519,1608.68931222566,1568.43619501913,1760.35915000219,1784.91023009351,1522.5653220672,1474.54369000827,1541.18885778964,1509.81527707376,1682.54674296357,1600.6193453212,1642.54618594214,1665.49557236025,1647.43179464658,1732.65520958511,1694.99669978842,1666.13881116229,1589.82017013931,1599.8865584246,1610.96927885092,1622.82299937956,1629.6252970326
"CH4","alb","ktCH4",109.794054356347,108.217287462963,116.396289253145,118.126547781129,114.987675387024,118.957663287176,125.425055236747,129.461696067071,138.851885219942,139.788585262875,142.168737690487,142.387350574699,156.887530073555,166.309312490372,154.06040054934,150.787759176808,154.247127922794,159.388061813022,157.769019125928,160.077449610092,141.174782773487,146.813582675698,121.507641608811,126.847639216721,148.692849762622,147.053803971568,140.309208867472,131.104256136317,125.701277553809,127.091455510647,129.061648133386,127.026167543322,125.551064811695,126.258525811276,123.686147118882,123.125159195713,121.913519382441,116.47988246374,110.912629463286,106.867130698279,107.951926394538,106.090312637586,108.302397323401,109.680395742228,111.805589469902,113.227281827008,111.79425364481,111.232298227158,111.805506568475,102.730484019807,97.1806772238363,99.0990211263641,100.078623850525
"CH4","are","ktCH4",365.644671988717,491.177967942288,557.181245165196,708.269459253324,775.572267167229,784.387316498764,899.02717423032,926.425867046918,854.617387947885,857.930712875339,803.814751533373,716.43763431257,604.332562168342,561.618302164074,529.531485172349,535.394592329715,604.859820603387,677.272303787999,697.47951149113,821.855747019448,892.721982849137,1021.21305830532,1091.69303888251,1085.19429532553,1067.00075786362,1121.2884285249,1192.39502259448,1153.11846534012,1150.08684660916,1113.33147861578,1176.12030110286,1202.8132498859,1153.91854331948,1222.2524264811,1226.50745690399,1282.60160100669,1362.55038342003,1366.32471024442,1413.51000863386,1341.99182644666,1413.33242045553,1500.70744292561,1559.81455466576,1635.51414961512,1643.78322533668,1745.8802552596,1803.71406665682,1746.54559044585,1769.83084013083,1800.63980114066,1677.06641846292,1654.56024062978,1661.54662889212
"CH4","arg","ktCH4",3934.10557082601,4062.85455367011,4234.99869351965,4373.57805677248,4387.66288782844,4465.5729347129,4568.63715865921,4783.97447568395,4616.45332417761,4623.20510308143,4584.70787037616,4519.49079443698,4451.33087116336,4549.97380367357,4608.37371740307,4567.06518486122,4484.83063809559,4404.6745565037,4531.87668109559,4588.27802895529,4651.47298062742,4649.20577117496,4813.42436203847,4859.30770529666,5025.34310707579,5100.57777867325,5127.6100403707,5203.27691033121,5136.95101127611,5180.34673297528,5092.57135909462,5096.05317586989,5253.56955159822,5495.63917467764,5535.65210341509,5461.86136783144,5572.19486090836,5499.38284662609,5402.99224753583,5185.13614896984,4871.41339330361,4788.45454113622,4914.22547736188,4991.80533359522,5033.98899920667,5047.71941581469,5056.29774764579,5124.39258642477,5158.17967825653,5218.52374299017,5128.11979367347,5217.87590335028,5234.5881502988
"CH4","arm","ktCH4",43.2348170463426,46.3819750217188,48.1429814960988,49.5889513737155,51.3388295181449,52.9779919834071,54.3005914782499,55.3331418854398,57.0124165541891,58.4863321941925,59.8240077064115,60.8202488822061,61.9777839593425,63.2436916174039,64.9068799397109,66.1324103364959,67.5114833558325,68.874534967571,71.0997268305522,72.4482869182915,72.085814061839,69.4030958122025,63.267140779728,54.9723491984214,54.7830986215706,53.6208906562244,53.7025051597618,53.6912274981439,51.7018991614666,52.0625403872167,52.3784577287174,54.0803943036459,55.5418544857881,57.2505826408404,58.4130415479962,59.1659837417665,60.4480082340849,56.8630381853957,57.264446894663,54.4398579140186,53.6246844707985,53.9287586689992,55.675784355475,58.5436708850371,59.7930173899414,60.8527224734734,62.0689263069688,60.1104389013058,59.666810984454,58.8944116038905,60.0314663853316,60.9895255757521,60.3772734610836
"CH4","asm","ktCH4",0.203186817715716,0.202272889392446,0.202078970144121,0.202917597667884,0.20403758715443,0.206327678734451,0.207791308208291,0.212153811145707,0.211752686798302,0.210107972848951,0.213002417539798,0.217285477084729,0.226411901171261,0.235863617697488,0.247088397407723,0.253899095138189,0.259078211278348,0.265733868131888,0.27220405607613,0.280704439290883,0.259712596215018,0.261396222483693,0.26357915694873,0.265458091850391,0.26716080733243,0.268141502670237,0.269272939731592,0.271962122100439,0.274428176655335,0.275970411955572,0.288097684255501,0.301369269904215,0.296535432261071,0.302585802216242,0.299273043603105,0.297828549083799,0.298014581932452,0.29707117248647,0.296477788618191,0.291686110192208,0.28982177320054,0.281153906303112,0.303010102387904,0.310042729109794,0.311097750726701,0.306149368321079,0.308950197504576,0.252184963821204,0.25209199204967,0.252110319976694,0.25060789364685,0.250924841113377,0.25124836187062
"CH4","atg","ktCH4",2.06736286546196,2.26428536341346,2.25904674523978,2.27573411232417,2.27871884041354,2.30255504178786,2.32879308022584,2.35954693509125,2.51330063387852,2.73247102736134,2.87474106486515,2.86488464800391,2.9187096830664,2.90002897254029,2.88441395174418,2.9934579827948,2.97752744840907,2.95833004740823,2.94280209772599,2.81150154930387,2.81346923243933,2.84633956998474,2.85675555671802,2.89779424002207,2.9535434528305,2.97058897408744,2.95917173082291,2.98580345964715,3.00365751830479,3.03319074458093,3.04092879783085,3.05536941960953,3.06122211758783,3.07592989955962,3.09636919469232,3.09227880467862,3.10981710216451,3.10435647955383,3.084405158998,3.03010742991188,2.34763263622834,2.33521230444562,2.34073361567508,2.34209377457057,2.35218315512255,2.35974291059618,2.37768300455162,2.39754382149341,2.40613253721467,2.37907206723817,2.37964325853981,2.39787478518542,2.41860035154651
"CH4","aus","ktCH4",4323.20399931988,4419.90011628091,4670.16448513129,4650.88675861972,4737.87556237005,4743.13321334232,4754.19339329277,4627.11453689595,4456.53894363138,4417.86220025835,4331.9044484164,4409.57944263048,4424.56135045947,4380.12686506353,4523.54220033691,4513.73932192468,4633.54850171402,4656.67590821184,4552.15359274551,4748.46180919678,4826.87544839395,4784.69260969587,4749.9195411358,4631.95938075712,4522.74402799237,4486.94805948515,4464.68190241477,4581.85600619089,4585.95587415283,4445.29885748052,4625.01126500321,4584.36128717953,4553.05589025772,4325.76596001008,4377.61749729888,4478.07540681094,4436.79725930784,4463.40226535715,4362.5877464279,4313.22185540816,4215.44923662639,4283.19074684357,4289.32794172931,4306.37179183175,4169.70895581527,4177.16334922186,4116.78937985618,4173.06210080383,4240.51286260322,3997.07115275675,3900.84096005275,3760.45457134597,3729.3713771182
