"em","country","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"CH4","abw","ktCH4",0.401837305627783,0.444302903640085,0.448597458520565,0.453353793942006,0.456164588343438,0.458049805124255,0.462422713095754,0.459892362087693,0.458629177855057,0.45924712418792,0.460183962757777,0.464189027765627,0.470593263490924,0.474935980939028,0.484068977097322,0.486423108107622,0.477772769236775,0.471180003215552,0.465638306406586,0.463596124901992,0.553330688306024,0.577196064810123,0.588834676850123,0.615458306045065,0.64587374499452,0.667439538059376,0.667460934960042,0.692974733267295,0.69891214645205,0.701393508370575,2.53474539836091,2.53480654765904,2.53644143815032,2.68259231752537,2.92279137032398,2.94320123594184,1.94172134824051,1.96762005315363,1.83481851793807,1.70270131221041,1.33063788104292,1.5531045154839,0.853778221601104,0.861750409842877,0.884492411639783,0.883292364394234,0.888711889129687,0.894733586768455,0.899922434819528,0.903991474518599,0.898468605003038,0.908540431134982,0.915983310592326,0.917708818725615
"CH4","afg","ktCH4",544.818618017845,547.757465519804,497.293849071883,516.2375769915,540.736354515586,565.994183679802,576.742821953151,573.834019012527,576.990764153375,571.769287393594,570.988885922828,567.897874627771,560.457308870672,536.847177027515,495.763250917714,464.414288400021,417.616374720614,428.326681634891,439.049448903768,436.924536941631,461.513398518784,581.934042036281,537.974216770488,599.304403525805,670.108097906761,715.371167853675,772.555605513101,684.803485123611,710.902693019701,705.348335948962,596.158182965628,437.721936918941,460.927346244804,496.560346220475,575.395306389528,729.733110688484,787.928987669307,657.952936684404,891.688678644543,851.255675924013,700.638121245013,748.754859237252,749.498440804248,705.437951069547,711.195445705945,697.078970969368,673.5751284849,652.108937111394,641.342686054734,651.171485291225,646.011643491934,647.817153415453,664.057084846271,661.254558401059
"CH4","ago","ktCH4",279.055127931346,286.027323207758,310.136325277725,329.638502084842,336.218877615651,328.002540476579,320.947273339119,316.903036669378,312.149801018299,328.590838557652,336.944118653495,325.322573834967,323.179561237988,365.904356351039,393.05600235445,413.37145766347,455.504410771631,512.078730967116,580.400697925859,582.373645040259,600.007683607034,572.988712202671,516.188315743347,645.160447282832,1033.54573255626,1218.04701993206,1475.81566214316,1542.80106292853,1676.8319767033,1672.86354462004,1559.22358569762,1487.89908170753,1446.72596802598,1404.16129983864,1574.7202880752,1571.54969131691,1295.39740244247,1213.65086393776,1258.79656101062,1235.05267865673,1410.13278325189,1340.07824518728,1370.08544496846,1387.74229487654,1373.88301081464,1444.51840674812,1402.19136702984,1333.20984898275,1258.00508426113,1219.61279166208,1174.01218640394,1106.9957821105,1124.54304609519,1131.52285351283
"CH4","alb","ktCH4",109.248613343273,107.755274029079,115.948512209252,117.279370789739,113.993124289515,117.054514734002,123.095911903566,127.20599245768,136.722359446988,137.499547220115,139.747884135544,139.786229140981,154.270461559946,163.716289128603,151.510178985562,148.16875214886,151.615925199828,156.704768690703,154.763198595343,157.799879316689,139.711811925917,146.18506134574,120.987882547755,126.362650482454,148.302614685171,146.688382579475,139.73739546592,130.267809546543,124.577172871043,125.625884007522,127.284603085347,125.17583499072,123.558492534283,124.179574169356,121.571019631787,120.91472065945,119.731527052023,114.259887521606,108.797934836564,104.752313622053,105.833923182194,104.005022136005,106.23053855893,107.627381969415,109.657696862233,111.015984494067,109.421057085209,108.791593668167,109.401812166666,100.792518649846,93.1417433805917,91.1745550389713,85.6182064758971,85.3863123591619
"CH4","are","ktCH4",384.301968306564,516.22392857172,585.254741195946,743.716579186104,813.859078751466,822.37961811799,942.133856973768,969.924408441631,893.506216814904,896.053383124522,838.307371709669,745.868311039258,627.682890807248,582.294951013174,548.062148133751,524.999310538578,599.975466459844,653.908418214013,694.095980674729,834.721255893899,922.279783669362,1043.46557732194,1102.38925606434,1056.06174508553,1050.79740073403,1035.77363951153,1034.16089285658,1070.9190147597,1077.62807360791,966.29882759796,1039.39039433515,1018.39729279441,978.260370842827,1107.03159225484,1174.82193066385,1215.66387499144,1333.07290724713,1348.75704811731,1407.93741909902,1323.46368861988,1386.62452182069,1519.43405718648,1575.6175616278,1656.42988984314,1663.64066437261,1768.08742895966,1826.68192477982,1765.70360483087,1789.11988742079,1819.13028377114,1689.79465936728,1658.43601014632,1839.57102128811,1842.69277852252
"CH4","arg","ktCH4",4072.16287913823,4209.03662276871,4374.91182780069,4494.35105645929,4494.00582300514,4551.42569669089,4643.53661824274,4862.3570075263,4691.38770693606,4692.45848961475,4649.73210636565,4573.78054709342,4487.30149000686,4571.37771196284,4612.78726976492,4551.55577218144,4449.47876015024,4355.5541574645,4476.50088259788,4521.35380043174,4573.54770087033,4550.63626469833,4697.63357444752,4721.96822397142,4860.67902180851,4907.36022061132,4900.41962251095,4934.63999225893,4834.65569095939,4854.77507971572,4745.09574629338,4772.46194286591,4954.04384238785,5222.99249485951,5291.3560612304,5244.05291216549,5377.05993696154,5330.81658751234,5254.13511593898,5055.52286044632,4762.14033331342,4658.44940182971,4767.10845578756,4827.0878275702,4851.8901265817,4829.87247251282,4843.34722278723,4900.41140407699,4916.62633706957,4962.60173593827,4859.85416011332,4860.84449200011,5051.12617929831,5051.24165882517
"CH4","arm","ktCH4",42.1937363089038,45.4429670555475,47.3103241973396,48.8589617504592,50.6972064078641,52.4264317719581,53.823179929138,54.9227851735184,56.6209075827202,58.127118552443,59.4795606155679,60.4752212296968,61.6180752638066,62.8426904089904,64.421994925157,65.587975502797,66.7318170185708,68.0796659803665,70.0100278015834,71.1974496779527,70.8881254923741,68.0412038461229,61.7989161701827,55.1221654011537,54.2582028242451,53.288602523299,53.0863236353935,52.7986269996358,50.5171427224443,50.5800140341937,50.5928532244226,52.1971581656263,53.3231572499503,54.8243760505362,56.2388026579996,56.8923657381469,58.1998330635242,54.6728874819525,55.111272024805,52.3048233161191,51.5053742021276,51.8100557679239,53.5257802322788,56.4163543255207,57.6964898397924,58.8087967164781,60.0337029486756,58.1050228359626,57.876488481858,56.9986203409971,58.233670170525,61.3235543040877,58.1013350488229,59.2708657902251
"CH4","asm","ktCH4",0.0690839804898899,0.0701970615180107,0.070791621218661,0.0713607780444307,0.0716192668441017,0.0730232359465216,0.0738451354241466,0.0744127917092743,0.075483219777051,0.0759632618320424,0.0787951407931321,0.0808441820958198,0.0834817878079762,0.0864704444948238,0.0914664657849109,0.0946316149940028,0.0974636665641345,0.100484532648148,0.104607301598244,0.10877802155288,0.124805163853681,0.293292282877661,0.295759191559587,0.29791729115717,0.299779096658986,0.300923494292053,0.302230108669804,0.305084887142582,0.307706418802205,0.30938802317896,0.321618789831881,0.334988032339359,0.330236872638685,0.336344128534109,0.332983504142466,0.331521855771822,0.331509736685338,0.330649770877739,0.329896171542354,0.325071071487107,0.32311671861453,0.314398513675451,0.336239444411292,0.343242028721865,0.344263860411385,0.33933380508025,0.342263068171986,0.285461001584006,0.285362994414831,0.285255017589423,0.283560518355094,0.284121106110673,0.284317573626706,0.284789346210164
"CH4","atg","ktCH4",1.80393920075012,1.99599428428525,2.00000632186151,2.01727291559358,2.02116475553024,2.04634767613229,2.07354474046241,2.10564186743159,2.2610973223038,2.48266359720079,2.62798117339103,2.62104245875894,2.67848550983933,2.66379063761903,2.65239111527386,2.76550457768232,2.75361766160999,2.7383646767588,2.72596259698571,2.59650937040822,2.59861822804589,2.6285524357844,2.63524202819257,2.67086976278912,2.72066290393612,2.7305585615727,2.71096955207238,2.72930541942959,2.73871292156228,2.76060650026566,2.75917527483428,2.76876291379738,2.77177595431216,2.78391801486925,2.80202709666353,2.79651534867611,2.8119527358793,2.80365329429645,2.78093629972857,2.72446258815423,2.03963052603639,2.02418273492254,2.02542511242917,2.02149116415793,2.02967646492881,2.03387869590119,2.04873377384246,2.06513105464559,2.04122998406096,1.96888871503822,1.95887333553568,1.95946942873627,1.96117592366116,1.9746718231011
"CH4","aus","ktCH4",4254.67627550615,4360.54924022728,4595.08774124815,4574.43214372921,4666.10532924018,4689.08944120106,4701.41692950348,4567.52052678138,4397.5560092791,4352.57181695541,4270.91840620964,4343.60948538038,4355.65077858645,4310.72488019604,4458.41984910229,4464.84844664727,4583.80051724595,4609.72388476264,4527.79657620709,4721.65157500682,4821.90240771035,4782.11888215592,4744.06345119441,4623.58376567768,4511.16118348793,4471.28852056167,4448.53232870947,4565.30000583519,4568.31340032187,4423.48586767149,4602.69220492317,4560.91249550301,4515.19102734948,4298.05430138032,4347.87118312476,4447.23766441142,4406.78968999708,4428.32395425008,4326.0283011459,4279.81782626514,4180.13340384442,4242.40351420981,4250.45083450365,4267.16302945342,4135.22974106124,4144.4838706381,4092.53508792212,4148.74777433113,4221.43917006248,3977.92246063259,3872.00709757516,3878.62475142225,3792.06939761249,3854.39147519838
