"em","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CH4","1A1a_Electricity-autoproducer","ktCH4",2.71424688189148,3.02046825651303,2.87149354058876,3.22762989261673,8.43485692976018,8.3060171514503,8.89580418804601,9.00730935479025,8.59752177158926,9.4638841324568,9.81273531272576,9.30819667661063,9.73389443636155,10.2703464562864,13.4254904675339,13.673143214446,14.7664839605852,14.9380703596644,15.849424939353,16.5140704254387,18.3520333020207,19.141399546677,20.8718265967368,21.0678570965667,22.1556480379497,24.3126764865587,27.1003815539115,27.7677766089648,30.8265704667898,33.2874908131402,32.3410183354887,32.4288673916276,34.3440281086116,37.0194484132758,40.0773235517899,48.2576702822431,55.1556003590792,59.3284232174137,67.7901653280006,76.4233849232639,91.8798475235347,95.1961009423082,101.260836709848,110.777299022943,124.153624347335,130.965274611434,143.289657456936,152.795592584776,171.918368840738,183.828470850017,191.094312151035,215.573096098265,197.269966897564
"CH4","1A1a_Electricity-public","ktCH4",92.3846983243984,100.407553548196,110.998453150527,118.086988127732,109.25454902093,110.770434283108,116.681210836423,120.261604895363,125.09705924078,135.418033624649,140.427517888247,141.119765666848,141.269844102656,139.095211875597,146.48983176087,146.244349004621,145.256752085151,154.655862420109,163.474638148518,181.999112550743,185.74890612675,190.165905489231,201.773111338212,210.429714521019,232.434699584575,248.225099496195,263.291430867489,276.863371080361,290.793570402974,313.644939976149,339.216587405937,355.305228451956,382.316633159977,387.965860675869,414.195172783922,423.408474022283,444.028820826105,477.58986099855,493.715960661986,495.320432101276,540.829383516908,541.035777555422,561.441945387206,560.986546296544,564.980423341177,579.122516283577,594.245872642482,595.704176187201,589.357665327205,578.715438493259,558.324131889444,598.791632994782,581.17999473296
"CH4","1A1a_Heat-production","ktCH4",74.6887634341478,76.7261535434427,80.1547219647048,83.7493523774498,87.3577474890748,93.0245250389097,91.182976329196,89.1351791592058,86.9115707175578,83.4027812069311,87.926793793836,93.7286017064516,99.4084615665608,103.765355565759,107.791131057731,126.918773226849,131.148737662782,140.497455485009,153.844592544274,175.189079841372,175.639324701857,179.327230620518,196.039855482975,188.546504255441,169.664775259274,180.097499258867,188.512385044916,179.043035843275,176.935451431924,177.612255862756,173.598653635568,177.097201934908,188.963052868352,205.32569202355,218.527196168493,236.44390104124,239.606883330845,240.99493924727,245.247603931588,242.390008145695,273.788495948724,284.916733480369,303.028131988647,311.10923217953,311.209404293471,307.27505410465,310.819088491188,309.46515707507,308.772866467439,320.934509684371,345.669032946435,345.846142157072,325.750977236816
"CH4","1A1bc_Other-transformation","ktCH4",12.9568694847766,13.1694838026391,14.0015477870143,15.5273181804627,15.9994272085857,15.4135433936155,17.323676899635,18.9276261889811,20.4954321966646,22.1157615846147,21.9503924940243,22.2950271008724,24.6229201711886,26.6373314654047,28.8175688954114,32.2605896297069,32.0805412529881,34.3694820367064,34.8000287207252,36.0920877499492,30.8227218206485,31.8210767071009,32.0738955701621,32.7885774769741,34.1854066418176,34.8237218302109,35.7281626143962,38.9627530350476,38.9661271532155,38.200419736261,37.5823929347038,39.0891791591068,40.8274528667809,44.4018637101662,45.4253655637769,47.787515053955,50.1935195656487,53.805868793667,57.9055104612184,56.3019330264824,59.7912670063925,57.5038203827017,58.2133596697594,61.6931735785069,59.4142415879444,60.7371890953426,58.8430872114638,58.8823967704577,63.3273996775416,66.5532394092292,61.7866736468586,62.0873591440618,61.76281733665
"CH4","1A2a_Ind-Comb-Iron-steel","ktCH4",30.8781405971974,41.1311866725662,40.0099017411499,42.1021521191582,44.5601169759004,44.7545371234676,46.9710150101155,48.2431761730752,49.0653614303099,51.8889456454847,64.6072686142325,61.4527912071655,60.2299691867764,61.7479776234008,67.2937097475716,63.863152131492,67.235223215683,70.1750503045858,74.4648079481044,75.2404922605489,77.1573884940167,79.9046588571963,77.9788983102404,84.2602044298159,84.7152026103912,101.236632872041,94.55914380119,97.7303776362365,93.4256622905296,86.5150443938647,99.182368964096,97.2595292241943,102.320590882126,111.982829423229,124.96303148753,139.268573894569,144.779754084713,162.249994612567,169.066132630414,172.326392711575,187.290515544444,209.467043702332,213.317787777259,230.343719348284,240.140576312812,234.213918052066,227.0327741651,229.240721799998,245.026167538091,236.960630326387,216.395984750407,222.696856004581,215.429383227903
"CH4","1A2b_Ind-Comb-Non-ferrous-metals","ktCH4",1.81222870871337,2.33775163704558,2.53421029209334,3.41000456724152,4.21806948114834,4.37875891518785,4.56443495687519,4.66975006268987,4.97678953176225,5.15608998288056,5.14245781910528,5.35829371806333,5.52677288113879,5.80759426259587,3.91559984400644,5.82240380074882,4.79108733636387,5.03050847140044,5.6226383914115,5.59538786690122,5.98498112658255,6.36704524558754,6.64387473066323,7.21710795066981,7.52999745385048,9.15068550514768,9.18247539488664,9.10916139805067,9.99021819878935,10.6274611594092,11.899995669784,11.1201996962764,11.9487658930645,11.7157195737848,14.3532684931866,14.5417592454751,15.7871040503455,17.0781322183848,18.030656350408,17.0669865850109,18.1873712341708,19.0444084180847,19.9040180452698,22.5572636425474,23.5888521607255,23.7994848173654,24.2158730094599,23.2998145991686,25.4146860260567,24.8869799492235,22.8915380256025,25.469781909191,24.1904178766392
"CH4","1A2c_Ind-Comb-Chemicals","ktCH4",12.1513849223245,12.6987453453563,13.2271920778516,14.2612331893578,14.5478978403759,14.404132673619,15.2583639160298,16.2396086401747,15.9496039772545,17.1443043491167,35.4751836650357,35.8363658723367,36.0262965321774,37.9748711802646,40.1940094756252,31.5451408857314,31.5378659451807,33.4027107536388,34.9697270499796,36.9350788739038,44.6652315675648,47.2375946648637,49.2904068457948,54.1071614732622,57.5271737977825,67.5831233395128,68.1998394670597,65.8153527354985,64.9029521924418,62.1688844620617,68.6358915730989,65.3202081069003,65.8443555550595,68.6632214126306,76.5842469799967,83.3855300336955,95.1401534947027,98.3449827579637,88.5954773499724,84.6511025220203,94.2878494797576,109.553927798495,109.973868492809,117.346557824624,117.238626659754,116.241306881512,108.016191762422,113.51764878239,118.769232480713,121.037989164324,117.955965213146,124.683752374588,119.646142431782
"CH4","1A2d_Ind-Comb-Pulp-paper","ktCH4",3.94694063261235,4.22434488837152,4.57420749950451,5.22709690643432,5.52206027514636,5.28037537518853,5.76446672720817,6.26319045040427,6.77072955268951,7.25319715810055,9.48270487570447,9.62915815846907,10.8845881348437,11.5258969657056,12.633124329121,13.9456261747825,14.5350318714552,15.1546943586307,15.9676364699119,15.8594281031874,16.3603812197148,17.5498701871231,19.1287434113934,20.7772173871967,22.0029564898021,26.6875525789445,25.5787428910976,25.1743675443098,25.7544484059216,27.8629456882809,29.6241530642578,27.3542153685044,28.8389232429813,30.5865275273438,31.6686171190196,33.4990565734519,33.0421874740789,33.9523457273587,34.8071698396605,34.220200214792,34.8089610565482,33.955412052769,34.8868832296411,36.8878613253161,36.6210282169472,36.3554195011604,37.0110107279275,39.344419014068,40.4948639241417,38.5277330343782,36.7649824262966,38.8556355771135,37.1959682310119
"CH4","1A2e_Ind-Comb-Food-tobacco","ktCH4",18.3202016352553,17.2317462684106,18.4233738649105,19.5375186529886,19.9792497720105,19.0709255705506,20.6969990534168,22.8907067618457,21.3057188210856,20.9133550000743,25.6312230688213,27.3397317131866,28.9512311488458,30.2090888778017,30.6917837022648,30.3044963587062,31.1075095574067,33.8038739629695,32.6761897365303,32.4804909463985,34.4491157665741,35.7661701997642,38.2031805479892,40.3402870273391,43.5197174289604,48.5602361463228,48.4670491421041,47.6781840405865,49.0199349080207,50.0710836972403,46.93095772837,47.3843342590817,48.9212514797,51.3066245027937,56.7928978779453,57.0399629295334,59.3974947626172,60.8257378445951,60.7297582873364,57.3776064455334,59.8408068003971,60.429275798166,62.4054698578461,65.0562118708237,63.5824070320517,64.0327896434796,66.5064555550245,68.4572600637569,65.6112054275281,65.4758249761931,65.8927255028011,64.8439952463703,62.418012847551
"CH4","1A2f_Ind-Comb-Non-metalic-minerals","ktCH4",12.9835094140985,13.5232431569666,14.7118663872617,15.850438114873,16.8310793727041,18.1533923258954,19.0613284516724,19.9067324371554,20.2071456486791,20.7720772652462,31.4836569516573,32.5648701286635,34.900560693107,35.5439535164475,37.4389201189251,43.9315357250251,46.28039615605,47.9993738051097,49.7183777826889,50.7630281848243,52.2816743145778,55.6482641300804,57.4918062443505,63.8640235992219,68.6968848962921,80.7610867483337,80.6894226648626,81.6337936315614,85.5499812458627,81.983648672744,82.6300731090217,84.6486249204665,81.0982670170344,93.1159825541502,106.885731413633,115.039938443977,110.943992952788,114.613895499275,116.084196479399,109.154269498671,112.187882598041,123.566159927519,125.251114172808,130.722517895206,136.665585391149,134.126834759617,131.323294159755,132.961138693232,135.648361728015,136.064272583155,142.486613221721,152.347961747065,147.961617757535
